datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,C6H5OH (фенол),0.0001
2022-05-13T00:00:00+03:00,OZ,0.06
2022-05-13T00:00:00+03:00,C6H6 (бензол),0.01
2022-05-13T00:00:00+03:00,CO,0.29
2022-05-13T00:00:00+03:00,CH2O (формальдегид),0.0025
2022-05-13T00:00:00+03:00,NO2,0.002
2022-05-13T00:00:00+03:00,SO2,0.0028
2022-05-14T00:00:00+03:00,NO2,0.003
2022-05-14T00:00:00+03:00,OZ,0.066
2022-05-14T00:00:00+03:00,CO,0.44
2022-05-14T00:00:00+03:00,C6H6 (бензол),0.01
2022-05-14T00:00:00+03:00,SO2,0.0031
2022-05-14T00:00:00+03:00,CH2O (формальдегид),0.0025
2022-05-14T00:00:00+03:00,C6H5OH (фенол),0.0002
2022-05-15T00:00:00+03:00,CO,0.38
2022-05-15T00:00:00+03:00,NO2,0.002
2022-05-15T00:00:00+03:00,C6H5OH (фенол),0.0001
2022-05-15T00:00:00+03:00,C6H6 (бензол),0.01
2022-05-15T00:00:00+03:00,CH2O (формальдегид),0.0023
2022-05-15T00:00:00+03:00,SO2,0.0028
2022-05-15T00:00:00+03:00,OZ,0.0569
2022-05-16T00:00:00+03:00,C6H6 (бензол),0.009
2022-05-16T00:00:00+03:00,C6H5OH (фенол),0.0002
2022-05-16T00:00:00+03:00,NO2,0.003
2022-05-16T00:00:00+03:00,CH2O (формальдегид),0.0018
2022-05-16T00:00:00+03:00,CO,0.11
2022-05-16T00:00:00+03:00,OZ,0.0645
2022-05-16T00:00:00+03:00,SO2,0.0033
2022-05-17T00:00:00+03:00,OZ,0.0651
2022-05-17T00:00:00+03:00,C6H6 (бензол),0.009
2022-05-17T00:00:00+03:00,CO,0.12
2022-05-17T00:00:00+03:00,C6H5OH (фенол),0.0001
2022-05-17T00:00:00+03:00,NO2,0.005
2022-05-17T00:00:00+03:00,CH2O (формальдегид),0.0018
2022-05-17T00:00:00+03:00,SO2,0.0033
2022-05-18T00:00:00+03:00,C6H5OH (фенол),0.0001
2022-05-18T00:00:00+03:00,CH2O (формальдегид),0.0013
2022-05-18T00:00:00+03:00,SO2,0.0028
2022-05-18T00:00:00+03:00,OZ,0.0595
2022-05-18T00:00:00+03:00,C6H6 (бензол),0.01
2022-05-18T00:00:00+03:00,CO,0.16
2022-05-18T00:00:00+03:00,NO2,0.005
2022-05-19T00:00:00+03:00,OZ,0.0644
2022-05-19T00:00:00+03:00,NO2,0.004
2022-05-19T00:00:00+03:00,SO2,0.0028
2022-05-19T00:00:00+03:00,CO,0.04
2022-05-19T00:00:00+03:00,CH2O (формальдегид),0.0107
2022-05-19T00:00:00+03:00,C6H6 (бензол),0.009
2022-05-19T00:00:00+03:00,C6H5OH (фенол),0
2022-05-20T00:00:00+03:00,C6H6 (бензол),0.01
2022-05-20T00:00:00+03:00,CH2O (формальдегид),0.0128
2022-05-20T00:00:00+03:00,CO,0.24
2022-05-20T00:00:00+03:00,C6H5OH (фенол),0
2022-05-20T00:00:00+03:00,NO2,0.01
2022-05-20T00:00:00+03:00,SO2,0.0024
2022-05-20T00:00:00+03:00,OZ,0.0544
2022-05-21T00:00:00+03:00,CH2O (формальдегид),0.0066
2022-05-21T00:00:00+03:00,NO2,0.01
2022-05-21T00:00:00+03:00,C6H5OH (фенол),0.0001
2022-05-21T00:00:00+03:00,CO,0.48
2022-05-21T00:00:00+03:00,SO2,0.0029
2022-05-21T00:00:00+03:00,OZ,0.0578
2022-05-21T00:00:00+03:00,C6H6 (бензол),0.01
2022-05-22T00:00:00+03:00,CH2O (формальдегид),0.0077
2022-05-22T00:00:00+03:00,SO2,0.0036
2022-05-22T00:00:00+03:00,C6H5OH (фенол),0
2022-05-22T00:00:00+03:00,OZ,0.0697
2022-05-22T00:00:00+03:00,CO,0.46
2022-05-22T00:00:00+03:00,NO2,0.008
2022-05-22T00:00:00+03:00,C6H6 (бензол),0.009
