datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,NO2,0.017
2022-06-09T16:00:00+03:00,SO2,0.0006
2022-06-09T16:00:00+03:00,OZ,0.0687
2022-06-09T16:00:00+03:00,CO,0.7
2022-06-09T17:00:00+03:00,CO,0.7
2022-06-09T17:00:00+03:00,NO2,0.017
2022-06-09T17:00:00+03:00,OZ,0.0677
2022-06-09T17:00:00+03:00,SO2,0.0009
2022-06-09T18:00:00+03:00,CO,0.8
2022-06-09T18:00:00+03:00,OZ,0.0684
2022-06-09T18:00:00+03:00,NO2,0.017
2022-06-09T18:00:00+03:00,SO2,0.0012
2022-06-09T19:00:00+03:00,CO,0.73
2022-06-09T19:00:00+03:00,NO2,0.016
2022-06-09T19:00:00+03:00,SO2,0.0015
2022-06-09T19:00:00+03:00,OZ,0.0697
2022-06-09T20:00:00+03:00,CO,0.83
2022-06-09T20:00:00+03:00,OZ,0.0657
2022-06-09T20:00:00+03:00,SO2,0.0012
2022-06-09T20:00:00+03:00,NO2,0.019
2022-06-09T21:00:00+03:00,CO,0.87
2022-06-09T21:00:00+03:00,NO2,0.024
2022-06-09T21:00:00+03:00,OZ,0.0572
2022-06-09T21:00:00+03:00,SO2,0.0014
2022-06-09T22:00:00+03:00,NO2,0.036
2022-06-09T22:00:00+03:00,CO,0.73
2022-06-09T22:00:00+03:00,SO2,0.0016
2022-06-09T22:00:00+03:00,OZ,0.0322
2022-06-09T23:00:00+03:00,OZ,0.0229
2022-06-09T23:00:00+03:00,SO2,0.0017
2022-06-09T23:00:00+03:00,NO2,0.03
2022-06-09T23:00:00+03:00,CO,0.63
2022-06-10T00:00:00+03:00,NO2,0.025
2022-06-10T00:00:00+03:00,OZ,0.0242
2022-06-10T00:00:00+03:00,SO2,0.0016
2022-06-10T00:00:00+03:00,CO,0.6
2022-06-10T01:00:00+03:00,NO2,0.022
2022-06-10T01:00:00+03:00,CO,0.6
2022-06-10T01:00:00+03:00,OZ,0.0249
2022-06-10T01:00:00+03:00,SO2,0.0016
2022-06-10T02:00:00+03:00,NO2,0.02
2022-06-10T02:00:00+03:00,SO2,0.0017
2022-06-10T02:00:00+03:00,OZ,0.0249
2022-06-10T02:00:00+03:00,CO,0.63
2022-06-10T03:00:00+03:00,CO,0.6
2022-06-10T03:00:00+03:00,SO2,0.0014
2022-06-10T03:00:00+03:00,OZ,0.0204
2022-06-10T03:00:00+03:00,NO2,0.018
2022-06-10T04:00:00+03:00,NO2,0.021
2022-06-10T04:00:00+03:00,SO2,0.0014
2022-06-10T04:00:00+03:00,OZ,0.0159
2022-06-10T04:00:00+03:00,CO,0.67
2022-06-10T05:00:00+03:00,SO2,0.0017
2022-06-10T05:00:00+03:00,CO,0.7
2022-06-10T05:00:00+03:00,OZ,0.0136
2022-06-10T05:00:00+03:00,NO2,0.022
2022-06-10T06:00:00+03:00,SO2,0.0011
2022-06-10T06:00:00+03:00,OZ,0.011
2022-06-10T06:00:00+03:00,CO,0.73
2022-06-10T06:00:00+03:00,NO2,0.029
2022-06-10T07:00:00+03:00,SO2,0.0011
2022-06-10T07:00:00+03:00,OZ,0.0256
2022-06-10T07:00:00+03:00,CO,0.67
2022-06-10T07:00:00+03:00,NO2,0.023
2022-06-10T08:00:00+03:00,CO,0.6
2022-06-10T08:00:00+03:00,OZ,0.0269
2022-06-10T08:00:00+03:00,NO2,0.022
2022-06-10T08:00:00+03:00,SO2,0.0013
2022-06-10T09:00:00+03:00,NO2,0.017
2022-06-10T09:00:00+03:00,SO2,0.0014
2022-06-10T09:00:00+03:00,OZ,0.0322
2022-06-10T09:00:00+03:00,CO,0.57
2022-06-10T10:00:00+03:00,SO2,0.0007
2022-06-10T10:00:00+03:00,OZ,0.0438
2022-06-10T10:00:00+03:00,NO2,0.017
2022-06-10T10:00:00+03:00,CO,0.4
2022-06-10T11:00:00+03:00,NO2,0.015
2022-06-10T11:00:00+03:00,OZ,0.0488
2022-06-10T11:00:00+03:00,CO,0.23
2022-06-10T11:00:00+03:00,SO2,0.0004
2022-06-10T12:00:00+03:00,CO,0.2
2022-06-10T12:00:00+03:00,OZ,0.0566
2022-06-10T12:00:00+03:00,SO2,0.0007
2022-06-10T12:00:00+03:00,NO2,0.016
2022-06-10T13:00:00+03:00,SO2,0.0011
2022-06-10T13:00:00+03:00,CO,0.17
2022-06-10T13:00:00+03:00,NO2,0.016
2022-06-10T13:00:00+03:00,OZ,0.0609
2022-06-10T14:00:00+03:00,NO2,0.014
2022-06-10T14:00:00+03:00,SO2,0.0011
2022-06-10T14:00:00+03:00,OZ,0.0614
2022-06-10T14:00:00+03:00,CO,0.1
2022-06-10T15:00:00+03:00,OZ,0.0584
2022-06-10T15:00:00+03:00,CO,0.13
2022-06-10T15:00:00+03:00,SO2,0.0002
2022-06-10T15:00:00+03:00,NO2,0.016
2022-06-10T16:00:00+03:00,CO,0.1
2022-06-10T16:00:00+03:00,SO2,0.0006
2022-06-10T16:00:00+03:00,OZ,0.0614
2022-06-10T16:00:00+03:00,NO2,0.017
2022-06-10T17:00:00+03:00,SO2,0.0014
2022-06-10T17:00:00+03:00,OZ,0.0656
2022-06-10T17:00:00+03:00,NO2,0.016
2022-06-10T17:00:00+03:00,CO,0.1
2022-06-10T18:00:00+03:00,CO,0.1
2022-06-10T18:00:00+03:00,NO2,0.017
2022-06-10T18:00:00+03:00,OZ,0.0659
2022-06-10T18:00:00+03:00,SO2,0.0014
2022-06-10T19:00:00+03:00,NO2,0.017
2022-06-10T19:00:00+03:00,CO,0.1
2022-06-10T19:00:00+03:00,SO2,0.0017
2022-06-10T19:00:00+03:00,OZ,0.0672
2022-06-10T20:00:00+03:00,OZ,0.0614
2022-06-10T20:00:00+03:00,CO,0.1
2022-06-10T20:00:00+03:00,SO2,0.0009
2022-06-10T20:00:00+03:00,NO2,0.018
2022-06-10T21:00:00+03:00,NO2,0.043
2022-06-10T21:00:00+03:00,CO,0.27
2022-06-10T21:00:00+03:00,OZ,0.0366
2022-06-10T21:00:00+03:00,SO2,0.0007
2022-06-10T22:00:00+03:00,SO2,0.0017
2022-06-10T22:00:00+03:00,CO,0.33
2022-06-10T22:00:00+03:00,NO2,0.033
2022-06-10T22:00:00+03:00,OZ,0.0318
2022-06-10T23:00:00+03:00,NO2,0.04
2022-06-10T23:00:00+03:00,CO,0.4
2022-06-10T23:00:00+03:00,SO2,0.0017
2022-06-10T23:00:00+03:00,OZ,0.0192
2022-06-11T00:00:00+03:00,NO2,0.044
2022-06-11T00:00:00+03:00,CO,0.47
2022-06-11T00:00:00+03:00,SO2,0.0017
2022-06-11T00:00:00+03:00,OZ,0.0115
2022-06-11T01:00:00+03:00,CO,0.5
2022-06-11T01:00:00+03:00,SO2,0.0017
2022-06-11T01:00:00+03:00,OZ,0.0095
2022-06-11T01:00:00+03:00,NO2,0.039
2022-06-11T02:00:00+03:00,NO2,0.03
2022-06-11T02:00:00+03:00,SO2,0.0019
2022-06-11T02:00:00+03:00,OZ,0.0082
2022-06-11T02:00:00+03:00,CO,0.5
2022-06-11T03:00:00+03:00,SO2,0.0022
2022-06-11T03:00:00+03:00,NO2,0.03
2022-06-11T03:00:00+03:00,OZ,0.0089
2022-06-11T03:00:00+03:00,CO,0.47
2022-06-11T04:00:00+03:00,SO2,0.002
2022-06-11T04:00:00+03:00,CO,0.5
2022-06-11T04:00:00+03:00,OZ,0.0083
2022-06-11T04:00:00+03:00,NO2,0.028
2022-06-11T05:00:00+03:00,NO2,0.025
