datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CH2O (формальдегид),0.004
2021-07-01T00:00:00+03:00,C6H6 (бензол),0.011
2021-07-01T00:00:00+03:00,NO2,0.008
2021-07-01T00:00:00+03:00,SO2,0.0026
2021-07-01T00:00:00+03:00,OZ,0.0324
2021-07-01T00:00:00+03:00,CO,0.23
2021-07-01T00:00:00+03:00,C6H5OH (фенол),0.0019
2021-08-01T00:00:00+03:00,SO2,0.0062
2021-08-01T00:00:00+03:00,C6H5OH (фенол),0.0009
2021-08-01T00:00:00+03:00,CO,0.24
2021-08-01T00:00:00+03:00,NO2,0.016
2021-08-01T00:00:00+03:00,C6H6 (бензол),0.006
2021-08-01T00:00:00+03:00,CH2O (формальдегид),0.0085
2021-08-01T00:00:00+03:00,OZ,0.0364
2021-09-01T00:00:00+03:00,SO2,0.0036
2021-09-01T00:00:00+03:00,NO2,0.017
2021-09-01T00:00:00+03:00,CO,0.23
2021-09-01T00:00:00+03:00,C6H6 (бензол),0.002
2021-09-01T00:00:00+03:00,CH2O (формальдегид),0.0023
2021-09-01T00:00:00+03:00,OZ,0.0194
2021-09-01T00:00:00+03:00,C6H5OH (фенол),0.0003
2021-10-01T00:00:00+03:00,SO2,0.0042
2021-10-01T00:00:00+03:00,CO,0.28
2021-10-01T00:00:00+03:00,OZ,0.0488
2021-10-01T00:00:00+03:00,C6H5OH (фенол),0.0008
2021-10-01T00:00:00+03:00,C6H6 (бензол),0.001
2021-10-01T00:00:00+03:00,CH2O (формальдегид),0.0008
2021-10-01T00:00:00+03:00,NO2,0.017
2021-11-01T00:00:00+03:00,SO2,0.0041
2021-11-01T00:00:00+03:00,OZ,0.0536
2021-11-01T00:00:00+03:00,CH2O (формальдегид),0.0004
2021-11-01T00:00:00+03:00,C6H5OH (фенол),0.0012
2021-11-01T00:00:00+03:00,C6H6 (бензол),0.003
2021-11-01T00:00:00+03:00,CO,0.2
2021-11-01T00:00:00+03:00,NO2,0.013
2021-12-01T00:00:00+03:00,OZ,0.0284
2021-12-01T00:00:00+03:00,CH2O (формальдегид),0.0014
2021-12-01T00:00:00+03:00,CO,0.21
2021-12-01T00:00:00+03:00,NO2,0.033
2021-12-01T00:00:00+03:00,C6H5OH (фенол),0.0015
2021-12-01T00:00:00+03:00,SO2,0.0016
2021-12-01T00:00:00+03:00,C6H6 (бензол),0.005
2022-01-01T00:00:00+03:00,CO,0.16
2022-01-01T00:00:00+03:00,C6H5OH (фенол),0.0001
2022-01-01T00:00:00+03:00,NO2,0.03
2022-01-01T00:00:00+03:00,SO2,0.0024
2022-01-01T00:00:00+03:00,CH2O (формальдегид),0.0023
2022-01-01T00:00:00+03:00,OZ,0.0298
2022-01-01T00:00:00+03:00,C6H6 (бензол),0.007
2022-02-01T00:00:00+03:00,C6H6 (бензол),0.007
2022-02-01T00:00:00+03:00,CH2O (формальдегид),0.0011
2022-02-01T00:00:00+03:00,CO,0.16
2022-02-01T00:00:00+03:00,SO2,0.0023
2022-02-01T00:00:00+03:00,C6H5OH (фенол),0.0002
2022-02-01T00:00:00+03:00,NO2,0.026
2022-02-01T00:00:00+03:00,OZ,0.0463
2022-03-01T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-03-01T00:00:00+03:00,CO,0.33
2022-03-01T00:00:00+03:00,C6H6 (бензол),0.006
2022-03-01T00:00:00+03:00,SO2,0.0025
2022-03-01T00:00:00+03:00,OZ,0.0573
2022-03-01T00:00:00+03:00,CH2O (формальдегид),0.0009
2022-03-01T00:00:00+03:00,NO2,0.035
2022-04-01T00:00:00+03:00,CH2O (формальдегид),0.0039
2022-04-01T00:00:00+03:00,C6H6 (бензол),0.009
2022-04-01T00:00:00+03:00,C6H5OH (фенол),0.0001
2022-04-01T00:00:00+03:00,OZ,0.0562
2022-04-01T00:00:00+03:00,SO2,0.0028
2022-04-01T00:00:00+03:00,NO2,0.011
2022-04-01T00:00:00+03:00,CO,0.16
2022-05-01T00:00:00+03:00,SO2,0.0026
2022-05-01T00:00:00+03:00,C6H6 (бензол),0.01
2022-05-01T00:00:00+03:00,OZ,0.0591
2022-05-01T00:00:00+03:00,CH2O (формальдегид),0.0037
2022-05-01T00:00:00+03:00,NO2,0.006
2022-05-01T00:00:00+03:00,CO,0.25
2022-05-01T00:00:00+03:00,C6H5OH (фенол),0.0001
