datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,CO,0.03
2022-06-09T16:00:00+03:00,OZ,0.0775
2022-06-09T17:00:00+03:00,CO,0.04
2022-06-09T17:00:00+03:00,OZ,0.0467
2022-06-09T18:00:00+03:00,OZ,0.0405
2022-06-09T18:00:00+03:00,CO,0.05
2022-06-09T19:00:00+03:00,CO,0.06
2022-06-09T19:00:00+03:00,OZ,0.0379
2022-06-09T20:00:00+03:00,OZ,0.0283
2022-06-09T20:00:00+03:00,CO,0.06
2022-06-09T21:00:00+03:00,OZ,0.0033
2022-06-09T21:00:00+03:00,CO,0.04
2022-06-09T22:00:00+03:00,CO,0.04
2022-06-09T22:00:00+03:00,OZ,0.0144
2022-06-09T23:00:00+03:00,OZ,0.0241
2022-06-09T23:00:00+03:00,CO,0.07
2022-06-10T00:00:00+03:00,OZ,0.0387
2022-06-10T00:00:00+03:00,CO,0.04
2022-06-10T01:00:00+03:00,CO,0.04
2022-06-10T01:00:00+03:00,OZ,0.0036
2022-06-10T02:00:00+03:00,CO,0.06
2022-06-10T02:00:00+03:00,OZ,0.0115
2022-06-10T03:00:00+03:00,CO,0.07
2022-06-10T03:00:00+03:00,OZ,0.024
2022-06-10T04:00:00+03:00,OZ,0.0256
2022-06-10T04:00:00+03:00,CO,0.08
2022-06-10T05:00:00+03:00,OZ,0.0175
2022-06-10T05:00:00+03:00,CO,0.09
2022-06-10T06:00:00+03:00,CO,0.08
2022-06-10T06:00:00+03:00,OZ,0.0127
2022-06-10T07:00:00+03:00,CO,0.08
2022-06-10T07:00:00+03:00,OZ,0.0321
2022-06-10T08:00:00+03:00,CO,0.09
2022-06-10T08:00:00+03:00,OZ,0.0327
2022-06-10T09:00:00+03:00,OZ,0.0165
2022-06-10T09:00:00+03:00,CO,0.07
2022-06-10T10:00:00+03:00,OZ,0.0332
2022-06-10T10:00:00+03:00,CO,0.07
2022-06-10T11:00:00+03:00,OZ,0.083
2022-06-10T11:00:00+03:00,CO,0.06
2022-06-10T12:00:00+03:00,OZ,0.0951
2022-06-10T12:00:00+03:00,CO,0.04
2022-06-10T13:00:00+03:00,OZ,0.0699
2022-06-10T13:00:00+03:00,CO,0.02
2022-06-10T14:00:00+03:00,OZ,0.0596
2022-06-10T14:00:00+03:00,CO,0
2022-06-10T15:00:00+03:00,CO,0.01
2022-06-10T15:00:00+03:00,OZ,0.0875
2022-06-10T16:00:00+03:00,CO,0.02
2022-06-10T16:00:00+03:00,OZ,0.1046
2022-06-10T17:00:00+03:00,OZ,0.0828
2022-06-10T17:00:00+03:00,CO,0.03
2022-06-10T18:00:00+03:00,CO,0.03
2022-06-10T18:00:00+03:00,OZ,0.0681
2022-06-10T19:00:00+03:00,CO,0.03
2022-06-10T19:00:00+03:00,OZ,0.0869
2022-06-10T20:00:00+03:00,OZ,0.097
2022-06-10T20:00:00+03:00,CO,0.06
2022-06-10T21:00:00+03:00,CO,0.05
2022-06-10T21:00:00+03:00,OZ,0.0312
2022-06-10T22:00:00+03:00,OZ,0.0219
2022-06-10T22:00:00+03:00,CO,0.03
2022-06-10T23:00:00+03:00,CO,0.02
2022-06-10T23:00:00+03:00,OZ,0.0211
2022-06-11T00:00:00+03:00,OZ,0.0276
2022-06-11T00:00:00+03:00,CO,0.02
2022-06-11T01:00:00+03:00,OZ,0.0175
2022-06-11T01:00:00+03:00,CO,0.03
2022-06-11T02:00:00+03:00,CO,0.03
2022-06-11T02:00:00+03:00,OZ,0.0031
2022-06-11T03:00:00+03:00,OZ,0.0028
2022-06-11T03:00:00+03:00,CO,0.03
2022-06-11T04:00:00+03:00,OZ,0.0061
2022-06-11T04:00:00+03:00,CO,0.03
2022-06-11T05:00:00+03:00,CO,0.04
2022-06-11T05:00:00+03:00,OZ,0.0006
2022-06-11T06:00:00+03:00,CO,0.08
2022-06-11T06:00:00+03:00,OZ,0
2022-06-11T07:00:00+03:00,OZ,0.0001
2022-06-11T07:00:00+03:00,CO,0.12
2022-06-11T08:00:00+03:00,CO,0.23
2022-06-11T08:00:00+03:00,OZ,0.0301
2022-06-11T09:00:00+03:00,OZ,0.0411
2022-06-11T09:00:00+03:00,CO,0.16
2022-06-11T10:00:00+03:00,CO,0.07
2022-06-11T10:00:00+03:00,OZ,0.0439
2022-06-11T11:00:00+03:00,CO,0.05
2022-06-11T11:00:00+03:00,OZ,0.0584
2022-06-11T12:00:00+03:00,OZ,0.0831
2022-06-11T12:00:00+03:00,CO,0.04
2022-06-11T13:00:00+03:00,OZ,0.0896
2022-06-11T13:00:00+03:00,CO,0.04
2022-06-11T14:00:00+03:00,CO,0.05
2022-06-11T14:00:00+03:00,OZ,0.0857
2022-06-11T15:00:00+03:00,CO,0.05
2022-06-11T15:00:00+03:00,OZ,0.0755
2022-06-11T16:00:00+03:00,CO,0.08
2022-06-11T16:00:00+03:00,OZ,0.1068
2022-06-11T17:00:00+03:00,OZ,0.1258
2022-06-11T17:00:00+03:00,CO,0.09
2022-06-11T18:00:00+03:00,OZ,0.1024
2022-06-11T18:00:00+03:00,CO,0.12
2022-06-11T19:00:00+03:00,CO,0.16
2022-06-11T19:00:00+03:00,OZ,0.0777
2022-06-11T20:00:00+03:00,CO,0.21
2022-06-11T20:00:00+03:00,OZ,0.0814
2022-06-11T21:00:00+03:00,CO,0.21
2022-06-11T21:00:00+03:00,OZ,0.0806
2022-06-11T22:00:00+03:00,CO,0.16
2022-06-11T22:00:00+03:00,OZ,0.0401
2022-06-11T23:00:00+03:00,OZ,0.0305
2022-06-11T23:00:00+03:00,CO,0.16
2022-06-12T00:00:00+03:00,OZ,0.0275
2022-06-12T00:00:00+03:00,CO,0.1
2022-06-12T01:00:00+03:00,CO,0.12
2022-06-12T01:00:00+03:00,OZ,0.033
2022-06-12T02:00:00+03:00,OZ,0.0115
2022-06-12T02:00:00+03:00,CO,0.12
2022-06-12T03:00:00+03:00,OZ,0.0066
2022-06-12T03:00:00+03:00,CO,0.11
2022-06-12T04:00:00+03:00,OZ,0.0104
2022-06-12T04:00:00+03:00,CO,0.09
2022-06-12T05:00:00+03:00,OZ,0.0223
2022-06-12T05:00:00+03:00,CO,0.09
2022-06-12T06:00:00+03:00,CO,0.1
2022-06-12T06:00:00+03:00,OZ,0.0166
2022-06-12T07:00:00+03:00,CO,0.08
2022-06-12T07:00:00+03:00,OZ,0.007
2022-06-12T08:00:00+03:00,CO,0.06
2022-06-12T08:00:00+03:00,OZ,0.0264
2022-06-12T09:00:00+03:00,CO,0.07
2022-06-12T09:00:00+03:00,OZ,0.0597
2022-06-12T10:00:00+03:00,OZ,0.0643
