datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.17
2021-07-01T00:00:00+03:00,OZ,0.028
2021-08-01T00:00:00+03:00,CO,0.14
2021-08-01T00:00:00+03:00,OZ,0.0269
2021-09-01T00:00:00+03:00,CO,0.09
2021-09-01T00:00:00+03:00,OZ,0.0183
2021-10-01T00:00:00+03:00,CO,0.1
2021-10-01T00:00:00+03:00,OZ,0.0283
2021-11-01T00:00:00+03:00,OZ,0.031
2021-11-01T00:00:00+03:00,CO,0.08
2021-12-01T00:00:00+03:00,OZ,0.0278
2021-12-01T00:00:00+03:00,CO,0.14
2022-01-01T00:00:00+03:00,OZ,0.0376
2022-01-01T00:00:00+03:00,CO,0.14
2022-02-01T00:00:00+03:00,OZ,0.076
2022-02-01T00:00:00+03:00,CO,0.12
2022-03-01T00:00:00+03:00,CO,0.13
2022-03-01T00:00:00+03:00,OZ,0.0719
2022-04-01T00:00:00+03:00,CO,0.09
2022-04-01T00:00:00+03:00,OZ,0.0708
2022-05-01T00:00:00+03:00,CO,0.05
2022-05-01T00:00:00+03:00,OZ,0.0662
