datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.006
2021-07-01T00:00:00+03:00,PM10,0.023
2021-07-01T00:00:00+03:00,SO2,0.0011
2021-07-01T00:00:00+03:00,CO,0.2
2021-07-01T00:00:00+03:00,NO2,0.033
2021-08-01T00:00:00+03:00,NO2,0.037
2021-08-01T00:00:00+03:00,NO,0.008
2021-08-01T00:00:00+03:00,SO2,0.0011
2021-08-01T00:00:00+03:00,PM10,0.023
2021-08-01T00:00:00+03:00,CO,0.31
2021-09-01T00:00:00+03:00,PM10,0.011
2021-09-01T00:00:00+03:00,SO2,0.0006
2021-09-01T00:00:00+03:00,NO2,0.026
2021-09-01T00:00:00+03:00,CO,0.25
2021-09-01T00:00:00+03:00,NO,0.008
2021-10-01T00:00:00+03:00,SO2,0.0009
2021-10-01T00:00:00+03:00,CO,0.28
2021-10-01T00:00:00+03:00,PM10,0.019
2021-10-01T00:00:00+03:00,NO,0.017
2021-10-01T00:00:00+03:00,NO2,0.041
2021-11-01T00:00:00+03:00,NO2,0.039
2021-11-01T00:00:00+03:00,PM10,0.007
2021-11-01T00:00:00+03:00,SO2,0.0006
2021-11-01T00:00:00+03:00,CO,0.23
2021-11-01T00:00:00+03:00,NO,0.016
2021-12-01T00:00:00+03:00,SO2,0.0008
2021-12-01T00:00:00+03:00,CO,0.26
2021-12-01T00:00:00+03:00,NO2,0.046
2021-12-01T00:00:00+03:00,NO,0.025
2021-12-01T00:00:00+03:00,PM10,0.011
2022-01-01T00:00:00+03:00,NO2,0.041
2022-01-01T00:00:00+03:00,NO,0.011
2022-01-01T00:00:00+03:00,CO,0.22
2022-01-01T00:00:00+03:00,PM10,0.01
2022-01-01T00:00:00+03:00,SO2,0.0008
2022-02-01T00:00:00+03:00,PM10,0.011
2022-02-01T00:00:00+03:00,SO2,0.0013
2022-02-01T00:00:00+03:00,NO,0.01
2022-02-01T00:00:00+03:00,NO2,0.043
2022-02-01T00:00:00+03:00,CO,0.22
2022-03-01T00:00:00+03:00,SO2,0.0022
2022-03-01T00:00:00+03:00,PM10,0.023
2022-03-01T00:00:00+03:00,NO,0.021
2022-03-01T00:00:00+03:00,NO2,0.049
2022-03-01T00:00:00+03:00,CO,0.27
2022-04-01T00:00:00+03:00,NO,0.006
2022-04-01T00:00:00+03:00,NO2,0.034
2022-04-01T00:00:00+03:00,SO2,0.0014
2022-04-01T00:00:00+03:00,PM10,0.016
2022-04-01T00:00:00+03:00,CO,0.2
2022-05-01T00:00:00+03:00,SO2,0.0013
2022-05-01T00:00:00+03:00,CO,0.15
2022-05-01T00:00:00+03:00,NO,0.003
2022-05-01T00:00:00+03:00,NO2,0.025
2022-05-01T00:00:00+03:00,PM10,0.014
