datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.021
2021-07-01T00:00:00+03:00,NO2,0.019
2021-07-01T00:00:00+03:00,CO,0.09
2021-08-01T00:00:00+03:00,NO2,0.025
2021-08-01T00:00:00+03:00,NO,0.022
2021-08-01T00:00:00+03:00,CO,0.11
2021-09-01T00:00:00+03:00,NO2,0.026
2021-09-01T00:00:00+03:00,NO,0.026
2021-09-01T00:00:00+03:00,CO,0.07
2021-10-01T00:00:00+03:00,CO,0.11
2021-10-01T00:00:00+03:00,NO,0.037
2021-10-01T00:00:00+03:00,NO2,0.035
2021-11-01T00:00:00+03:00,NO2,0.023
2021-11-01T00:00:00+03:00,NO,0.017
2021-11-01T00:00:00+03:00,CO,0.06
2021-12-01T00:00:00+03:00,NO2,0.036
2021-12-01T00:00:00+03:00,NO,0.031
2021-12-01T00:00:00+03:00,CO,0.08
2022-01-01T00:00:00+03:00,CO,0.09
2022-01-01T00:00:00+03:00,NO2,0.038
2022-01-01T00:00:00+03:00,NO,0.019
2022-02-01T00:00:00+03:00,NO,0.019
2022-02-01T00:00:00+03:00,CO,0.29
2022-02-01T00:00:00+03:00,NO2,0.037
2022-03-01T00:00:00+03:00,CO,0.42
2022-03-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,NO,0.038
2022-04-01T00:00:00+03:00,CO,0.27
2022-04-01T00:00:00+03:00,NO2,0.033
2022-04-01T00:00:00+03:00,NO,0.012
2022-05-01T00:00:00+03:00,NO,0.008
2022-05-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,NO2,0.02
