datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,CH4,1.32
2022-06-09T16:00:00+03:00,PM10,0.037
2022-06-09T16:00:00+03:00,CO,0.3
2022-06-09T16:00:00+03:00,SO2,0.0049
2022-06-09T16:00:00+03:00,NO2,0.022
2022-06-09T16:00:00+03:00,PM2.5,0.012
2022-06-09T16:00:00+03:00,NO,0.004
2022-06-09T16:00:00+03:00,OZ,0.1649
2022-06-09T17:00:00+03:00,CH4,1.32
2022-06-09T17:00:00+03:00,NO2,0.018
2022-06-09T17:00:00+03:00,PM10,0.026
2022-06-09T17:00:00+03:00,PM2.5,0.011
2022-06-09T17:00:00+03:00,CO,0.3
2022-06-09T17:00:00+03:00,OZ,0.1683
2022-06-09T17:00:00+03:00,SO2,0.0044
2022-06-09T17:00:00+03:00,NO,0.004
2022-06-09T18:00:00+03:00,NO,0.004
2022-06-09T18:00:00+03:00,NO2,0.018
2022-06-09T18:00:00+03:00,SO2,0.0046
2022-06-09T18:00:00+03:00,OZ,0.1356
2022-06-09T18:00:00+03:00,CH4,1.32
2022-06-09T18:00:00+03:00,PM10,0.028
2022-06-09T18:00:00+03:00,PM2.5,0.01
2022-06-09T18:00:00+03:00,CO,0.3
2022-06-09T19:00:00+03:00,OZ,0.1215
2022-06-09T19:00:00+03:00,CO,0.3
2022-06-09T19:00:00+03:00,NO,0.004
2022-06-09T19:00:00+03:00,PM10,0.027
2022-06-09T19:00:00+03:00,NO2,0.02
2022-06-09T19:00:00+03:00,CH4,1.32
2022-06-09T19:00:00+03:00,SO2,0.0046
2022-06-09T19:00:00+03:00,PM2.5,0.01
2022-06-09T20:00:00+03:00,CO,0.3
2022-06-09T20:00:00+03:00,NO,0.004
2022-06-09T20:00:00+03:00,CH4,1.32
2022-06-09T20:00:00+03:00,PM2.5,0.01
2022-06-09T20:00:00+03:00,OZ,0.1098
2022-06-09T20:00:00+03:00,SO2,0.0048
2022-06-09T20:00:00+03:00,NO2,0.026
2022-06-09T20:00:00+03:00,PM10,0.024
2022-06-09T21:00:00+03:00,SO2,0.0048
2022-06-09T21:00:00+03:00,CH4,1.34
2022-06-09T21:00:00+03:00,PM10,0.036
2022-06-09T21:00:00+03:00,OZ,0.0791
2022-06-09T21:00:00+03:00,NO,0.004
2022-06-09T21:00:00+03:00,PM2.5,0.012
2022-06-09T21:00:00+03:00,CO,0.4
2022-06-09T21:00:00+03:00,NO2,0.051
2022-06-09T22:00:00+03:00,CH4,1.35
2022-06-09T22:00:00+03:00,SO2,0.0031
2022-06-09T22:00:00+03:00,NO,0.005
2022-06-09T22:00:00+03:00,PM10,0.047
2022-06-09T22:00:00+03:00,PM2.5,0.018
2022-06-09T22:00:00+03:00,CO,0.47
2022-06-09T22:00:00+03:00,OZ,0.061
2022-06-09T22:00:00+03:00,NO2,0.058
2022-06-09T23:00:00+03:00,CO,0.47
2022-06-09T23:00:00+03:00,NO,0.004
2022-06-09T23:00:00+03:00,SO2,0.0029
2022-06-09T23:00:00+03:00,PM10,0.046
2022-06-09T23:00:00+03:00,OZ,0.0613
2022-06-09T23:00:00+03:00,NO2,0.05
2022-06-09T23:00:00+03:00,CH4,1.34
2022-06-09T23:00:00+03:00,PM2.5,0.016
2022-06-10T00:00:00+03:00,NO,0.003
2022-06-10T00:00:00+03:00,OZ,0.0322
2022-06-10T00:00:00+03:00,SO2,0.0029
2022-06-10T00:00:00+03:00,PM2.5,0.015
2022-06-10T00:00:00+03:00,CH4,1.35
2022-06-10T00:00:00+03:00,NO2,0.068
2022-06-10T00:00:00+03:00,PM10,0.04
2022-06-10T00:00:00+03:00,CO,0.5
2022-06-10T01:00:00+03:00,CH4,1.46
2022-06-10T01:00:00+03:00,CO,1.67
2022-06-10T01:00:00+03:00,NO,0.013
2022-06-10T01:00:00+03:00,PM10,0.232
2022-06-10T01:00:00+03:00,PM2.5,0.076
2022-06-10T01:00:00+03:00,SO2,0.0039
2022-06-10T01:00:00+03:00,NO2,0.081
2022-06-10T01:00:00+03:00,OZ,0.0209
2022-06-10T02:00:00+03:00,CO,1.37
2022-06-10T02:00:00+03:00,NO2,0.096
2022-06-10T02:00:00+03:00,PM10,0.308
2022-06-10T02:00:00+03:00,SO2,0.005
2022-06-10T02:00:00+03:00,OZ,0.0013
2022-06-10T02:00:00+03:00,NO,0.029
2022-06-10T02:00:00+03:00,CH4,1.55
2022-06-10T02:00:00+03:00,PM2.5,0.049
2022-06-10T03:00:00+03:00,PM10,0.087
2022-06-10T03:00:00+03:00,NO2,0.087
2022-06-10T03:00:00+03:00,SO2,0.0034
2022-06-10T03:00:00+03:00,CH4,1.43
2022-06-10T03:00:00+03:00,CO,0.83
2022-06-10T03:00:00+03:00,PM2.5,0.019
2022-06-10T03:00:00+03:00,NO,0.02
2022-06-10T03:00:00+03:00,OZ,0.0005
2022-06-10T04:00:00+03:00,PM10,0.052
2022-06-10T04:00:00+03:00,CH4,1.41
2022-06-10T04:00:00+03:00,NO2,0.084
2022-06-10T04:00:00+03:00,OZ,0.0003
2022-06-10T04:00:00+03:00,CO,0.6
2022-06-10T04:00:00+03:00,NO,0.033
2022-06-10T04:00:00+03:00,SO2,0.0041
2022-06-10T04:00:00+03:00,PM2.5,0.012
2022-06-10T05:00:00+03:00,NO,0.005
2022-06-10T05:00:00+03:00,CH4,1.37
2022-06-10T05:00:00+03:00,OZ,0.0403
2022-06-10T05:00:00+03:00,CO,0.3
2022-06-10T05:00:00+03:00,NO2,0.041
2022-06-10T05:00:00+03:00,SO2,0.0031
2022-06-10T05:00:00+03:00,PM10,0.023
2022-06-10T05:00:00+03:00,PM2.5,0.008
2022-06-10T06:00:00+03:00,SO2,0.0024
2022-06-10T06:00:00+03:00,CO,0.2
2022-06-10T06:00:00+03:00,PM10,0.021
2022-06-10T06:00:00+03:00,CH4,1.34
2022-06-10T06:00:00+03:00,NO2,0.025
2022-06-10T06:00:00+03:00,NO,0.004
2022-06-10T06:00:00+03:00,OZ,0.0796
2022-06-10T06:00:00+03:00,PM2.5,0.008
2022-06-10T07:00:00+03:00,SO2,0.0028
2022-06-10T07:00:00+03:00,OZ,0.0589
2022-06-10T07:00:00+03:00,PM10,0.021
2022-06-10T07:00:00+03:00,NO2,0.036
2022-06-10T07:00:00+03:00,CH4,1.35
2022-06-10T07:00:00+03:00,PM2.5,0.009
