datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO,0.015
2022-05-13T00:00:00+03:00,NO2,0.036
2022-05-13T00:00:00+03:00,PM2.5,0.003
2022-05-13T00:00:00+03:00,CO,0.3
2022-05-13T00:00:00+03:00,PM10,0.019
2022-05-13T00:00:00+03:00,SO2,0.0007
2022-05-14T00:00:00+03:00,SO2,0.0005
2022-05-14T00:00:00+03:00,PM10,0.022
2022-05-14T00:00:00+03:00,NO2,0.041
2022-05-14T00:00:00+03:00,PM2.5,0.003
2022-05-14T00:00:00+03:00,CO,0.26
2022-05-14T00:00:00+03:00,NO,0.013
2022-05-15T00:00:00+03:00,SO2,0.001
2022-05-15T00:00:00+03:00,NO,0.014
2022-05-15T00:00:00+03:00,NO2,0.043
2022-05-15T00:00:00+03:00,CO,0.31
2022-05-15T00:00:00+03:00,PM2.5,0.004
2022-05-15T00:00:00+03:00,PM10,0.023
2022-05-16T00:00:00+03:00,PM2.5,0.003
2022-05-16T00:00:00+03:00,NO2,0.032
2022-05-16T00:00:00+03:00,NO,0.015
2022-05-16T00:00:00+03:00,CO,0.19
2022-05-16T00:00:00+03:00,PM10,0.021
2022-05-16T00:00:00+03:00,SO2,0.0009
2022-05-17T00:00:00+03:00,PM10,0.015
2022-05-17T00:00:00+03:00,SO2,0.0019
2022-05-17T00:00:00+03:00,PM2.5,0.004
2022-05-17T00:00:00+03:00,NO,0.021
2022-05-17T00:00:00+03:00,CO,0.44
2022-05-17T00:00:00+03:00,NO2,0.035
2022-05-18T00:00:00+03:00,CO,0.25
2022-05-18T00:00:00+03:00,NO2,0.037
2022-05-18T00:00:00+03:00,SO2,0.001
2022-05-18T00:00:00+03:00,PM10,0.022
2022-05-18T00:00:00+03:00,NO,0.019
2022-05-18T00:00:00+03:00,PM2.5,0.003
2022-05-19T00:00:00+03:00,SO2,0.0011
2022-05-19T00:00:00+03:00,PM2.5,0.004
2022-05-19T00:00:00+03:00,PM10,0.022
2022-05-19T00:00:00+03:00,NO,0.019
2022-05-19T00:00:00+03:00,CO,0.42
2022-05-19T00:00:00+03:00,NO2,0.047
2022-05-20T00:00:00+03:00,PM10,0.029
2022-05-20T00:00:00+03:00,SO2,0.0016
2022-05-20T00:00:00+03:00,PM2.5,0.004
2022-05-20T00:00:00+03:00,CO,0.33
2022-05-20T00:00:00+03:00,NO,0.03
2022-05-20T00:00:00+03:00,NO2,0.053
2022-05-21T00:00:00+03:00,PM10,0.038
2022-05-21T00:00:00+03:00,CO,0.36
2022-05-21T00:00:00+03:00,NO,0.037
2022-05-21T00:00:00+03:00,PM2.5,0.006
2022-05-21T00:00:00+03:00,SO2,0.003
2022-05-21T00:00:00+03:00,NO2,0.06
2022-05-22T00:00:00+03:00,PM10,0.034
2022-05-22T00:00:00+03:00,NO2,0.037
2022-05-22T00:00:00+03:00,NO,0.022
2022-05-22T00:00:00+03:00,CO,0.24
2022-05-22T00:00:00+03:00,SO2,0.0017
2022-05-22T00:00:00+03:00,PM2.5,0.005
2022-05-23T00:00:00+03:00,NO,0.016
2022-05-23T00:00:00+03:00,PM10,0.026
2022-05-23T00:00:00+03:00,PM2.5,0.004
2022-05-23T00:00:00+03:00,CO,0.12
2022-05-23T00:00:00+03:00,NO2,0.041
2022-05-23T00:00:00+03:00,SO2,0.0014
2022-05-24T00:00:00+03:00,NO,0.018
2022-05-24T00:00:00+03:00,SO2,0.0019
2022-05-24T00:00:00+03:00,PM2.5,0.005
2022-05-24T00:00:00+03:00,CO,0.05
2022-05-24T00:00:00+03:00,NO2,0.044
2022-05-24T00:00:00+03:00,PM10,0.027
2022-05-25T00:00:00+03:00,SO2,0.0011
2022-05-25T00:00:00+03:00,PM10,0.021
2022-05-25T00:00:00+03:00,CO,0.05
2022-05-25T00:00:00+03:00,PM2.5,0.004
2022-05-25T00:00:00+03:00,NO2,0.037
2022-05-25T00:00:00+03:00,NO,0.022
2022-05-26T00:00:00+03:00,NO2,0.057
2022-05-26T00:00:00+03:00,CO,0.14
2022-05-26T00:00:00+03:00,NO,0.029
2022-05-26T00:00:00+03:00,SO2,0.0017
2022-05-26T00:00:00+03:00,PM10,0.026
2022-05-26T00:00:00+03:00,PM2.5,0.004
2022-05-27T00:00:00+03:00,NO2,0.049
2022-05-27T00:00:00+03:00,PM10,0.015
2022-05-27T00:00:00+03:00,PM2.5,0.004
2022-05-27T00:00:00+03:00,NO,0.02
2022-05-27T00:00:00+03:00,CO,0.12
2022-05-27T00:00:00+03:00,SO2,0.0015
2022-05-28T00:00:00+03:00,PM2.5,0.004
2022-05-28T00:00:00+03:00,SO2,0.0014
2022-05-28T00:00:00+03:00,PM10,0.02
2022-05-28T00:00:00+03:00,CO,0.09
2022-05-28T00:00:00+03:00,NO,0.019
2022-05-28T00:00:00+03:00,NO2,0.054
2022-05-29T00:00:00+03:00,PM2.5,0.004
2022-05-29T00:00:00+03:00,NO,0.011
2022-05-29T00:00:00+03:00,CO,0.06
2022-05-29T00:00:00+03:00,SO2,0.0016
2022-05-29T00:00:00+03:00,PM10,0.019
2022-05-29T00:00:00+03:00,NO2,0.042
2022-05-30T00:00:00+03:00,PM2.5,0.005
2022-05-30T00:00:00+03:00,SO2,0.002
2022-05-30T00:00:00+03:00,NO2,0.061
2022-05-30T00:00:00+03:00,PM10,0.025
2022-05-30T00:00:00+03:00,NO,0.016
2022-05-30T00:00:00+03:00,CO,0.13
2022-05-31T00:00:00+03:00,NO2,0.089
2022-05-31T00:00:00+03:00,PM2.5,0.008
2022-05-31T00:00:00+03:00,CO,0.44
2022-05-31T00:00:00+03:00,PM10,0.028
2022-05-31T00:00:00+03:00,SO2,0.0025
2022-05-31T00:00:00+03:00,NO,0.049
2022-06-01T00:00:00+03:00,NO2,0.072
2022-06-01T00:00:00+03:00,NO,0.031
2022-06-01T00:00:00+03:00,PM10,0.033
2022-06-01T00:00:00+03:00,SO2,0.0025
2022-06-01T00:00:00+03:00,PM2.5,0.007
2022-06-01T00:00:00+03:00,CO,0.34
2022-06-02T00:00:00+03:00,NO2,0.055
2022-06-02T00:00:00+03:00,NO,0.017
2022-06-02T00:00:00+03:00,PM2.5,0.006
2022-06-02T00:00:00+03:00,PM10,0.026
2022-06-02T00:00:00+03:00,SO2,0.0012
2022-06-02T00:00:00+03:00,CO,0.25
2022-06-03T00:00:00+03:00,NO2,0.058
2022-06-03T00:00:00+03:00,PM10,0.024
2022-06-03T00:00:00+03:00,PM2.5,0.007
2022-06-03T00:00:00+03:00,CO,0.3
2022-06-03T00:00:00+03:00,SO2,0.0012
2022-06-03T00:00:00+03:00,NO,0.018
2022-06-04T00:00:00+03:00,PM10,0.02
2022-06-04T00:00:00+03:00,NO,0.013
2022-06-04T00:00:00+03:00,PM2.5,0.004
2022-06-04T00:00:00+03:00,SO2,0.0011
2022-06-04T00:00:00+03:00,CO,0.18
2022-06-04T00:00:00+03:00,NO2,0.042
2022-06-05T00:00:00+03:00,SO2,0.001
2022-06-05T00:00:00+03:00,NO,0.035
2022-06-05T00:00:00+03:00,CO,0.34
2022-06-05T00:00:00+03:00,PM2.5,0.006
2022-06-05T00:00:00+03:00,NO2,0.053
2022-06-05T00:00:00+03:00,PM10,0.027
2022-06-06T00:00:00+03:00,NO,0.013
2022-06-06T00:00:00+03:00,PM2.5,0.004
2022-06-06T00:00:00+03:00,SO2,0.0007
2022-06-06T00:00:00+03:00,PM10,0.022
2022-06-06T00:00:00+03:00,CO,0.18
2022-06-06T00:00:00+03:00,CO,0.17
2022-06-06T00:00:00+03:00,NO2,0.047
2022-06-07T00:00:00+03:00,PM2.5,0.004
2022-06-07T00:00:00+03:00,CO,0.17
2022-06-07T00:00:00+03:00,NO,0.019
2022-06-07T00:00:00+03:00,SO2,0.0013
2022-06-07T00:00:00+03:00,PM10,0.023
2022-06-07T00:00:00+03:00,NO2,0.055
2022-06-08T00:00:00+03:00,CO,0.34
2022-06-08T00:00:00+03:00,SO2,0.0025
2022-06-08T00:00:00+03:00,PM10,0.033
2022-06-08T00:00:00+03:00,PM2.5,0.007
2022-06-08T00:00:00+03:00,NO,0.042
2022-06-08T00:00:00+03:00,NO2,0.076
2022-06-09T00:00:00+03:00,NO2,0.086
2022-06-09T00:00:00+03:00,CO,0.46
2022-06-09T00:00:00+03:00,NO,0.055
2022-06-09T00:00:00+03:00,SO2,0.0025
2022-06-09T00:00:00+03:00,PM2.5,0.01
2022-06-09T00:00:00+03:00,PM10,0.046
2022-06-10T00:00:00+03:00,NO2,0.064
2022-06-10T00:00:00+03:00,CO,0.3
2022-06-10T00:00:00+03:00,PM10,0.035
2022-06-10T00:00:00+03:00,PM2.5,0.007
2022-06-10T00:00:00+03:00,NO,0.02
2022-06-10T00:00:00+03:00,SO2,0.0006
2022-06-11T00:00:00+03:00,NO,0.023
2022-06-11T00:00:00+03:00,SO2,0.002
2022-06-11T00:00:00+03:00,NO2,0.077
2022-06-11T00:00:00+03:00,PM2.5,0.007
2022-06-11T00:00:00+03:00,CO,0.34
2022-06-11T00:00:00+03:00,PM10,0.037
2022-06-12T00:00:00+03:00,SO2,0.0028
2022-06-12T00:00:00+03:00,NO,0.043
2022-06-12T00:00:00+03:00,CO,0.47
2022-06-12T00:00:00+03:00,NO2,0.074
2022-06-12T00:00:00+03:00,PM10,0.035
2022-06-12T00:00:00+03:00,PM2.5,0.008
2022-06-13T00:00:00+03:00,NO2,0.067
2022-06-13T00:00:00+03:00,CO,0.28
2022-06-13T00:00:00+03:00,SO2,0.0019
2022-06-13T00:00:00+03:00,PM10,0.032
2022-06-13T00:00:00+03:00,PM2.5,0.009
2022-06-13T00:00:00+03:00,NO,0.03
2022-06-14T00:00:00+03:00,NO2,0.066
2022-06-14T00:00:00+03:00,CO,0.4
2022-06-14T00:00:00+03:00,PM2.5,0.009
2022-06-14T00:00:00+03:00,SO2,0.0017
2022-06-14T00:00:00+03:00,NO,0.032
2022-06-14T00:00:00+03:00,PM10,0.032
2022-06-15T00:00:00+03:00,PM2.5,0.003
2022-06-15T00:00:00+03:00,NO2,0.032
2022-06-15T00:00:00+03:00,CO,0.08
2022-06-15T00:00:00+03:00,PM10,0.016
2022-06-15T00:00:00+03:00,SO2,0.0012
2022-06-15T00:00:00+03:00,NO,0.011
2022-06-16T00:00:00+03:00,SO2,0.0015
2022-06-16T00:00:00+03:00,PM2.5,0.003
2022-06-16T00:00:00+03:00,PM10,0.016
2022-06-16T00:00:00+03:00,CO,0.12
2022-06-16T00:00:00+03:00,NO2,0.037
2022-06-16T00:00:00+03:00,NO,0.017
2022-06-17T00:00:00+03:00,PM10,0.019
2022-06-17T00:00:00+03:00,NO,0.027
2022-06-17T00:00:00+03:00,NO2,0.055
2022-06-17T00:00:00+03:00,PM2.5,0.004
2022-06-17T00:00:00+03:00,SO2,0.0012
2022-06-17T00:00:00+03:00,NO,0.026
2022-06-17T00:00:00+03:00,CO,0.21
2022-06-17T00:00:00+03:00,NO2,0.054
2022-06-18T00:00:00+03:00,NO,0.017
2022-06-18T00:00:00+03:00,PM10,0.018
2022-06-18T00:00:00+03:00,PM2.5,0.003
2022-06-18T00:00:00+03:00,SO2,0.0013
2022-06-18T00:00:00+03:00,NO2,0.044
2022-06-18T00:00:00+03:00,CO,0.15
2022-06-19T00:00:00+03:00,PM10,0.023
2022-06-19T00:00:00+03:00,NO2,0.042
2022-06-19T00:00:00+03:00,CO,0.11
2022-06-19T00:00:00+03:00,PM2.5,0.005
2022-06-19T00:00:00+03:00,NO,0.011
2022-06-19T00:00:00+03:00,SO2,0.0016
2022-06-20T00:00:00+03:00,SO2,0.0019
2022-06-20T00:00:00+03:00,NO2,0.035
2022-06-20T00:00:00+03:00,PM2.5,0.005
2022-06-20T00:00:00+03:00,CO,0.1
2022-06-20T00:00:00+03:00,NO,0.015
2022-06-20T00:00:00+03:00,PM10,0.017
2022-06-21T00:00:00+03:00,NO,0.049
2022-06-21T00:00:00+03:00,PM2.5,0.007
2022-06-21T00:00:00+03:00,CO,0.4
2022-06-21T00:00:00+03:00,SO2,0.0025
2022-06-21T00:00:00+03:00,NO2,0.076
2022-06-21T00:00:00+03:00,PM10,0.026
2022-06-22T00:00:00+03:00,CO,0.34
2022-06-22T00:00:00+03:00,NO,0.045
2022-06-22T00:00:00+03:00,PM10,0.037
2022-06-22T00:00:00+03:00,SO2,0.0033
2022-06-22T00:00:00+03:00,NO2,0.057
2022-06-22T00:00:00+03:00,PM2.5,0.007
2022-06-23T00:00:00+03:00,NO,0.038
2022-06-23T00:00:00+03:00,NO2,0.056
2022-06-23T00:00:00+03:00,PM2.5,0.006
2022-06-23T00:00:00+03:00,PM10,0.031
2022-06-23T00:00:00+03:00,CO,0.26
2022-06-23T00:00:00+03:00,SO2,0.0025
2022-06-24T00:00:00+03:00,CO,0.24
2022-06-24T00:00:00+03:00,NO2,0.056
2022-06-24T00:00:00+03:00,NO,0.028
2022-06-24T00:00:00+03:00,PM10,0.029
2022-06-24T00:00:00+03:00,SO2,0.0021
2022-06-24T00:00:00+03:00,PM2.5,0.006
2022-06-25T00:00:00+03:00,NO2,0.065
2022-06-25T00:00:00+03:00,NO,0.032
2022-06-25T00:00:00+03:00,PM2.5,0.008
2022-06-25T00:00:00+03:00,SO2,0.0025
