datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.013
2021-07-01T00:00:00+03:00,PM10,0.029
2021-07-01T00:00:00+03:00,CO,0.48
2021-07-01T00:00:00+03:00,SO2,0.0018
2021-07-01T00:00:00+03:00,NO2,0.051
2021-07-01T00:00:00+03:00,NO,0.023
2021-08-01T00:00:00+03:00,CO,0.7
2021-08-01T00:00:00+03:00,NO,0.033
2021-08-01T00:00:00+03:00,SO2,0.0015
2021-08-01T00:00:00+03:00,PM2.5,0.016
2021-08-01T00:00:00+03:00,NO2,0.056
2021-08-01T00:00:00+03:00,PM10,0.033
2021-09-01T00:00:00+03:00,CO,0.56
2021-09-01T00:00:00+03:00,NO2,0.037
2021-09-01T00:00:00+03:00,SO2,0.0014
2021-09-01T00:00:00+03:00,NO,0.033
2021-09-01T00:00:00+03:00,PM10,0.025
2021-09-01T00:00:00+03:00,PM2.5,0.013
2021-10-01T00:00:00+03:00,CO,0.48
2021-10-01T00:00:00+03:00,PM2.5,0.006
2021-10-01T00:00:00+03:00,PM10,0.026
2021-10-01T00:00:00+03:00,NO,0.029
2021-10-01T00:00:00+03:00,SO2,0.0017
2021-10-01T00:00:00+03:00,NO2,0.041
2021-11-01T00:00:00+03:00,CO,0.38
2021-11-01T00:00:00+03:00,PM2.5,0.006
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,PM10,0.025
2021-11-01T00:00:00+03:00,NO,0.027
2021-11-01T00:00:00+03:00,SO2,0.0013
2021-12-01T00:00:00+03:00,CO,0.44
2021-12-01T00:00:00+03:00,PM10,0.019
2021-12-01T00:00:00+03:00,PM2.5,0.007
2021-12-01T00:00:00+03:00,NO,0.05
2021-12-01T00:00:00+03:00,SO2,0.0016
2021-12-01T00:00:00+03:00,NO2,0.048
2022-01-01T00:00:00+03:00,NO,0.034
2022-01-01T00:00:00+03:00,NO2,0.051
2022-01-01T00:00:00+03:00,PM10,0.017
2022-01-01T00:00:00+03:00,PM2.5,0.006
2022-01-01T00:00:00+03:00,SO2,0.0014
2022-01-01T00:00:00+03:00,CO,0.35
2022-02-01T00:00:00+03:00,NO,0.026
2022-02-01T00:00:00+03:00,NO2,0.054
2022-02-01T00:00:00+03:00,CO,0.31
2022-02-01T00:00:00+03:00,PM10,0.022
2022-02-01T00:00:00+03:00,SO2,0.0014
2022-02-01T00:00:00+03:00,PM2.5,0.006
2022-03-01T00:00:00+03:00,NO2,0.072
2022-03-01T00:00:00+03:00,PM10,0.048
2022-03-01T00:00:00+03:00,PM2.5,0.007
2022-03-01T00:00:00+03:00,SO2,0.002
2022-03-01T00:00:00+03:00,NO,0.055
2022-03-01T00:00:00+03:00,CO,0.43
2022-04-01T00:00:00+03:00,CO,0.36
2022-04-01T00:00:00+03:00,PM10,0.037
2022-04-01T00:00:00+03:00,SO2,0.0017
2022-04-01T00:00:00+03:00,NO,0.03
2022-04-01T00:00:00+03:00,PM2.5,0.006
2022-04-01T00:00:00+03:00,NO2,0.063
2022-05-01T00:00:00+03:00,NO2,0.047
2022-05-01T00:00:00+03:00,CO,0.24
2022-05-01T00:00:00+03:00,PM2.5,0.004
2022-05-01T00:00:00+03:00,PM10,0.026
2022-05-01T00:00:00+03:00,SO2,0.0014
2022-05-01T00:00:00+03:00,NO,0.019
