datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.03
2021-07-01T00:00:00+03:00,CO,0.55
2021-07-01T00:00:00+03:00,NO2,0.034
2021-08-01T00:00:00+03:00,NO,0.017
2021-08-01T00:00:00+03:00,NO2,0.031
2021-08-01T00:00:00+03:00,CO,0.64
2021-09-01T00:00:00+03:00,NO2,0.015
2021-09-01T00:00:00+03:00,CO,0.35
2021-09-01T00:00:00+03:00,NO,0.004
2021-10-01T00:00:00+03:00,NO2,0.016
2021-10-01T00:00:00+03:00,CO,0.39
2021-10-01T00:00:00+03:00,NO,0.011
2021-11-01T00:00:00+03:00,NO,0.007
2021-11-01T00:00:00+03:00,CO,0.28
2021-11-01T00:00:00+03:00,NO2,0.015
2021-12-01T00:00:00+03:00,NO2,0.022
2021-12-01T00:00:00+03:00,NO,0.014
2021-12-01T00:00:00+03:00,CO,0.36
2022-01-01T00:00:00+03:00,NO,0.006
2022-01-01T00:00:00+03:00,CO,0.25
2022-01-01T00:00:00+03:00,NO2,0.019
2022-02-01T00:00:00+03:00,NO2,0.023
2022-02-01T00:00:00+03:00,NO,0.004
2022-02-01T00:00:00+03:00,CO,0.33
2022-03-01T00:00:00+03:00,CO,0.51
2022-03-01T00:00:00+03:00,NO2,0.03
2022-03-01T00:00:00+03:00,NO,0.02
2022-04-01T00:00:00+03:00,NO,0.01
2022-04-01T00:00:00+03:00,NO2,0.03
2022-04-01T00:00:00+03:00,CO,0.38
2022-05-01T00:00:00+03:00,NO,0.008
2022-05-01T00:00:00+03:00,NO2,0.031
2022-05-01T00:00:00+03:00,CO,0.31
2022-06-01T00:00:00+03:00,NO2,0.033
2022-06-01T00:00:00+03:00,CO,0.26
2022-06-01T00:00:00+03:00,NO,0.013
