datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,OZ,0.1203
2022-06-09T16:00:00+03:00,CO,0.3
2022-06-09T17:00:00+03:00,CO,0.27
2022-06-09T17:00:00+03:00,OZ,0.1016
2022-06-09T18:00:00+03:00,OZ,0.0816
2022-06-09T18:00:00+03:00,CO,0.23
2022-06-09T19:00:00+03:00,OZ,0.071
2022-06-09T19:00:00+03:00,CO,0.33
2022-06-09T20:00:00+03:00,OZ,0.0662
2022-06-09T20:00:00+03:00,CO,0.43
2022-06-09T21:00:00+03:00,OZ,0.0198
2022-06-09T21:00:00+03:00,CO,0.57
2022-06-09T22:00:00+03:00,OZ,0.0358
2022-06-09T22:00:00+03:00,CO,0.47
2022-06-09T23:00:00+03:00,CO,0.2
2022-06-09T23:00:00+03:00,OZ,0.0415
2022-06-10T00:00:00+03:00,CO,0.27
2022-06-10T00:00:00+03:00,OZ,0.0188
2022-06-10T01:00:00+03:00,CO,0.47
2022-06-10T01:00:00+03:00,OZ,0.0076
2022-06-10T02:00:00+03:00,OZ,0.0061
2022-06-10T02:00:00+03:00,CO,0.63
2022-06-10T03:00:00+03:00,CO,0.4
2022-06-10T03:00:00+03:00,OZ,0.0057
2022-06-10T04:00:00+03:00,OZ,0.0059
2022-06-10T04:00:00+03:00,CO,0.3
2022-06-10T05:00:00+03:00,CO,0.33
2022-06-10T05:00:00+03:00,OZ,0.008
2022-06-10T06:00:00+03:00,CO,0.33
2022-06-10T06:00:00+03:00,OZ,0.0073
2022-06-10T07:00:00+03:00,CO,0.23
2022-06-10T07:00:00+03:00,OZ,0.0191
2022-06-10T08:00:00+03:00,CO,0.2
2022-06-10T08:00:00+03:00,OZ,0.0187
2022-06-10T09:00:00+03:00,CO,0.2
2022-06-10T09:00:00+03:00,OZ,0.0502
2022-06-10T10:00:00+03:00,CO,0.17
2022-06-10T10:00:00+03:00,OZ,0.0603
2022-06-10T11:00:00+03:00,CO,0
2022-06-10T11:00:00+03:00,OZ,0.0717
2022-06-10T12:00:00+03:00,CO,0
2022-06-10T12:00:00+03:00,OZ,0.0814
2022-06-10T13:00:00+03:00,OZ,0.0848
2022-06-10T13:00:00+03:00,CO,0
2022-06-10T14:00:00+03:00,OZ,0.089
2022-06-10T14:00:00+03:00,CO,0
2022-06-10T15:00:00+03:00,CO,0
2022-06-10T15:00:00+03:00,OZ,0.0864
2022-06-10T16:00:00+03:00,CO,0
2022-06-10T16:00:00+03:00,OZ,0.0843
2022-06-10T17:00:00+03:00,CO,0.2
2022-06-10T17:00:00+03:00,OZ,0.0817
2022-06-10T18:00:00+03:00,OZ,0.0715
2022-06-10T18:00:00+03:00,CO,0.2
2022-06-10T19:00:00+03:00,CO,0.3
2022-06-10T19:00:00+03:00,OZ,0.078
2022-06-10T20:00:00+03:00,OZ,0.0736
2022-06-10T20:00:00+03:00,CO,0.3
2022-06-10T21:00:00+03:00,CO,0.33
2022-06-10T21:00:00+03:00,OZ,0.0431
2022-06-10T22:00:00+03:00,CO,0.47
2022-06-10T22:00:00+03:00,OZ,0.0167
2022-06-10T23:00:00+03:00,OZ,0.0071
2022-06-10T23:00:00+03:00,CO,0.77
2022-06-11T00:00:00+03:00,CO,1.2
2022-06-11T00:00:00+03:00,OZ,0.0054
2022-06-11T01:00:00+03:00,OZ,0.0032
2022-06-11T01:00:00+03:00,CO,1.07
2022-06-11T02:00:00+03:00,OZ,0.0194
2022-06-11T02:00:00+03:00,CO,1.07
2022-06-11T03:00:00+03:00,CO,1
2022-06-11T03:00:00+03:00,OZ,0.0048
2022-06-11T04:00:00+03:00,CO,0.77
2022-06-11T04:00:00+03:00,OZ,0.0045
2022-06-11T05:00:00+03:00,CO,0.63
2022-06-11T05:00:00+03:00,OZ,0.004
2022-06-11T06:00:00+03:00,OZ,0.0042
2022-06-11T06:00:00+03:00,CO,0.6
2022-06-11T07:00:00+03:00,CO,0.57
2022-06-11T07:00:00+03:00,OZ,0.0059
2022-06-11T08:00:00+03:00,CO,0.33
2022-06-11T08:00:00+03:00,OZ,0.0157
2022-06-11T09:00:00+03:00,CO,0.23
2022-06-11T09:00:00+03:00,OZ,0.0293
2022-06-11T10:00:00+03:00,CO,0.1
2022-06-11T10:00:00+03:00,OZ,0.0588
2022-06-11T11:00:00+03:00,OZ,0.0534
2022-06-11T11:00:00+03:00,CO,0.2
2022-06-11T12:00:00+03:00,OZ,0.0557
2022-06-11T12:00:00+03:00,CO,0.03
2022-06-11T13:00:00+03:00,CO,0.3
2022-06-11T13:00:00+03:00,OZ,0.0542
2022-06-11T14:00:00+03:00,OZ,0.0672
2022-06-11T14:00:00+03:00,CO,0.27
2022-06-11T15:00:00+03:00,CO,0.37
2022-06-11T15:00:00+03:00,OZ,0.0531
2022-06-11T16:00:00+03:00,OZ,0.0539
2022-06-11T16:00:00+03:00,CO,0.4
2022-06-11T17:00:00+03:00,CO,0.43
2022-06-11T17:00:00+03:00,OZ,0.0568
2022-06-11T18:00:00+03:00,OZ,0.0731
2022-06-11T18:00:00+03:00,CO,0.4
2022-06-11T19:00:00+03:00,OZ,0.0682
2022-06-11T19:00:00+03:00,CO,0.3
2022-06-11T20:00:00+03:00,CO,0.33
2022-06-11T20:00:00+03:00,OZ,0.0548
2022-06-11T21:00:00+03:00,CO,0.4
2022-06-11T21:00:00+03:00,OZ,0.0459
2022-06-11T22:00:00+03:00,OZ,0.0151
2022-06-11T22:00:00+03:00,CO,0.6
2022-06-11T23:00:00+03:00,OZ,0.0022
2022-06-11T23:00:00+03:00,CO,0.77
2022-06-12T00:00:00+03:00,CO,0.87
2022-06-12T00:00:00+03:00,OZ,0.005
2022-06-12T01:00:00+03:00,OZ,0.0044
2022-06-12T01:00:00+03:00,CO,0.73
2022-06-12T02:00:00+03:00,OZ,0.0045
2022-06-12T02:00:00+03:00,CO,0.6
2022-06-12T03:00:00+03:00,OZ,0.0042
2022-06-12T03:00:00+03:00,CO,0.53
2022-06-12T04:00:00+03:00,OZ,0.0012
2022-06-12T04:00:00+03:00,CO,0.53
2022-06-12T05:00:00+03:00,CO,0.87
2022-06-12T05:00:00+03:00,OZ,0.0044
2022-06-12T06:00:00+03:00,OZ,0.0042
2022-06-12T06:00:00+03:00,CO,0.8
2022-06-12T07:00:00+03:00,CO,0.83
2022-06-12T07:00:00+03:00,OZ,0.0042
2022-06-12T08:00:00+03:00,OZ,0.0037
2022-06-12T08:00:00+03:00,CO,0.6
2022-06-12T09:00:00+03:00,CO,0.37
2022-06-12T09:00:00+03:00,OZ,0.0068
2022-06-12T10:00:00+03:00,CO,0.23
2022-06-12T10:00:00+03:00,OZ,0.031
2022-06-12T11:00:00+03:00,OZ,0.056
2022-06-12T11:00:00+03:00,CO,0.2
2022-06-12T12:00:00+03:00,CO,0.2
2022-06-12T12:00:00+03:00,OZ,0.0632
2022-06-12T13:00:00+03:00,OZ,0.0667
2022-06-12T13:00:00+03:00,CO,0.17
2022-06-12T14:00:00+03:00,OZ,0.0763
2022-06-12T14:00:00+03:00,CO,0.07
2022-06-12T15:00:00+03:00,CO,0.03
2022-06-12T15:00:00+03:00,OZ,0.0822
2022-06-12T16:00:00+03:00,OZ,0.0861
2022-06-12T16:00:00+03:00,CO,0.1
2022-06-12T17:00:00+03:00,CO,0.17
2022-06-12T17:00:00+03:00,OZ,0.0689
2022-06-12T18:00:00+03:00,OZ,0.0752
2022-06-12T18:00:00+03:00,CO,0.1
2022-06-12T19:00:00+03:00,CO,0.2
2022-06-12T19:00:00+03:00,OZ,0.0799
2022-06-12T20:00:00+03:00,CO,0.2
2022-06-12T20:00:00+03:00,OZ,0.0607
2022-06-12T21:00:00+03:00,OZ,0.0207
2022-06-12T21:00:00+03:00,CO,0.73
2022-06-12T22:00:00+03:00,OZ,0.0083
2022-06-12T22:00:00+03:00,CO,0.8
2022-06-12T23:00:00+03:00,OZ,0.006
2022-06-12T23:00:00+03:00,CO,0.57
2022-06-13T00:00:00+03:00,CO,0.23
2022-06-13T00:00:00+03:00,OZ,0.0292
2022-06-13T01:00:00+03:00,OZ,0.032
2022-06-13T01:00:00+03:00,CO,0.2
2022-06-13T02:00:00+03:00,CO,0.2
2022-06-13T02:00:00+03:00,OZ,0.0324
2022-06-13T03:00:00+03:00,OZ,0.0212
2022-06-13T03:00:00+03:00,CO,0.23
2022-06-13T04:00:00+03:00,CO,0.2
2022-06-13T04:00:00+03:00,OZ,0.0204
2022-06-13T05:00:00+03:00,OZ,0.0079
2022-06-13T05:00:00+03:00,CO,0.3
2022-06-13T06:00:00+03:00,OZ,0.0104
2022-06-13T06:00:00+03:00,CO,0.27
2022-06-13T07:00:00+03:00,CO,0.3
2022-06-13T07:00:00+03:00,OZ,0.0161
2022-06-13T08:00:00+03:00,CO,0.2
2022-06-13T08:00:00+03:00,OZ,0.0375
2022-06-13T09:00:00+03:00,OZ,0.0345
2022-06-13T09:00:00+03:00,CO,0.2
2022-06-13T10:00:00+03:00,CO,0.2
2022-06-13T10:00:00+03:00,OZ,0.0479
2022-06-13T11:00:00+03:00,OZ,0.0605
2022-06-13T11:00:00+03:00,CO,0.2
2022-06-13T12:00:00+03:00,CO,0.2
2022-06-13T12:00:00+03:00,OZ,0.067
2022-06-13T13:00:00+03:00,CO,0.1
2022-06-13T13:00:00+03:00,OZ,0.0851
2022-06-13T14:00:00+03:00,OZ,0.0873
2022-06-13T14:00:00+03:00,CO,0.1
2022-06-13T15:00:00+03:00,OZ,0.0862
2022-06-13T15:00:00+03:00,CO,0.2
2022-06-13T16:00:00+03:00,CO,0.27
2022-06-13T16:00:00+03:00,OZ,0.0437
2022-06-13T17:00:00+03:00,OZ,0.0199
2022-06-13T17:00:00+03:00,CO,0.37
2022-06-13T18:00:00+03:00,CO,0.4
2022-06-13T18:00:00+03:00,OZ,0.0194
2022-06-13T19:00:00+03:00,OZ,0.0239
2022-06-13T19:00:00+03:00,CO,0.4
2022-06-13T20:00:00+03:00,OZ,0.0327
2022-06-13T20:00:00+03:00,CO,0.4
2022-06-13T21:00:00+03:00,OZ,0.0152
2022-06-13T21:00:00+03:00,CO,0.47
2022-06-13T22:00:00+03:00,CO,0.57
2022-06-13T22:00:00+03:00,OZ,0.0059
2022-06-13T23:00:00+03:00,OZ,0.0048
2022-06-13T23:00:00+03:00,CO,0.67
2022-06-14T00:00:00+03:00,OZ,0.0062
2022-06-14T00:00:00+03:00,CO,0.53
2022-06-14T01:00:00+03:00,OZ,0.0046
2022-06-14T01:00:00+03:00,CO,0.63
2022-06-14T02:00:00+03:00,OZ,0.0049
2022-06-14T02:00:00+03:00,CO,0.53
2022-06-14T03:00:00+03:00,CO,0.5
2022-06-14T03:00:00+03:00,OZ,0.0044
2022-06-14T04:00:00+03:00,OZ,0.0045
2022-06-14T04:00:00+03:00,CO,0.57
2022-06-14T05:00:00+03:00,OZ,0.0045
2022-06-14T05:00:00+03:00,CO,0.67
2022-06-14T06:00:00+03:00,OZ,0.0051
2022-06-14T06:00:00+03:00,CO,0.9
2022-06-14T07:00:00+03:00,OZ,0.0045
2022-06-14T07:00:00+03:00,CO,0.87
2022-06-14T08:00:00+03:00,OZ,0.0048
2022-06-14T08:00:00+03:00,CO,0.67
2022-06-14T09:00:00+03:00,CO,0.47
2022-06-14T09:00:00+03:00,OZ,0.0081
2022-06-14T10:00:00+03:00,OZ,0.0286
2022-06-14T10:00:00+03:00,CO,0.33
2022-06-14T11:00:00+03:00,OZ,0.047
2022-06-14T11:00:00+03:00,CO,0.3
2022-06-14T12:00:00+03:00,CO,0.03
2022-06-14T12:00:00+03:00,OZ,0.0742
2022-06-14T13:00:00+03:00,OZ,0.0914
2022-06-14T13:00:00+03:00,CO,0
2022-06-14T14:00:00+03:00,CO,0
2022-06-14T14:00:00+03:00,OZ,0.0971
