datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,CO,0.3
2022-06-09T16:00:00+03:00,CH4,1.37
2022-06-09T16:00:00+03:00,NO2,0.008
2022-06-09T16:00:00+03:00,H2S,0.0009
2022-06-09T16:00:00+03:00,NO,0.001
2022-06-09T16:00:00+03:00,OZ,0.1592
2022-06-09T17:00:00+03:00,CO,0.33
2022-06-09T17:00:00+03:00,H2S,0.0009
2022-06-09T17:00:00+03:00,OZ,0.1517
2022-06-09T17:00:00+03:00,NO2,0.011
2022-06-09T17:00:00+03:00,NO,0.001
2022-06-09T17:00:00+03:00,CH4,1.36
2022-06-09T18:00:00+03:00,H2S,0.001
2022-06-09T18:00:00+03:00,NO2,0.011
2022-06-09T18:00:00+03:00,CO,0.3
2022-06-09T18:00:00+03:00,NO,0.001
2022-06-09T18:00:00+03:00,CH4,1.36
2022-06-09T18:00:00+03:00,OZ,0.1262
2022-06-09T19:00:00+03:00,H2S,0.0009
2022-06-09T19:00:00+03:00,NO2,0.014
2022-06-09T19:00:00+03:00,CH4,1.37
2022-06-09T19:00:00+03:00,OZ,0.1211
2022-06-09T19:00:00+03:00,NO,0.001
2022-06-09T19:00:00+03:00,CO,0.33
2022-06-09T20:00:00+03:00,NO2,0.021
2022-06-09T20:00:00+03:00,CH4,1.37
2022-06-09T20:00:00+03:00,OZ,0.0994
2022-06-09T20:00:00+03:00,H2S,0.0009
2022-06-09T20:00:00+03:00,CO,0.4
2022-06-09T20:00:00+03:00,NO,0.001
2022-06-09T21:00:00+03:00,H2S,0.0009
2022-06-09T21:00:00+03:00,CH4,1.4
2022-06-09T21:00:00+03:00,OZ,0.066
2022-06-09T21:00:00+03:00,NO2,0.039
2022-06-09T21:00:00+03:00,CO,0.5
2022-06-09T21:00:00+03:00,NO,0.001
2022-06-09T22:00:00+03:00,OZ,0.0751
2022-06-09T22:00:00+03:00,NO,0.001
2022-06-09T22:00:00+03:00,H2S,0.0011
2022-06-09T22:00:00+03:00,CH4,1.38
2022-06-09T22:00:00+03:00,CO,0.4
2022-06-09T22:00:00+03:00,NO2,0.031
2022-06-09T23:00:00+03:00,NO2,0.058
2022-06-09T23:00:00+03:00,OZ,0.0256
2022-06-09T23:00:00+03:00,NO,0.001
2022-06-09T23:00:00+03:00,CH4,1.4
2022-06-09T23:00:00+03:00,CO,0.4
2022-06-09T23:00:00+03:00,H2S,0.0012
2022-06-10T00:00:00+03:00,NO2,0.054
2022-06-10T00:00:00+03:00,CO,0.37
2022-06-10T00:00:00+03:00,OZ,0.0204
2022-06-10T00:00:00+03:00,NO,0.001
2022-06-10T00:00:00+03:00,CH4,1.41
2022-06-10T00:00:00+03:00,H2S,0.0012
2022-06-10T01:00:00+03:00,CH4,1.44
2022-06-10T01:00:00+03:00,CO,0.6
2022-06-10T01:00:00+03:00,NO,0.019
