datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.23
2021-07-01T00:00:00+03:00,NO,0.012
2021-07-01T00:00:00+03:00,PM2.5,0.018
2021-07-01T00:00:00+03:00,NO2,0.034
2021-07-01T00:00:00+03:00,OZ,0.0538
2021-08-01T00:00:00+03:00,NO2,0.038
2021-08-01T00:00:00+03:00,PM2.5,
2021-08-01T00:00:00+03:00,OZ,0.0431
2021-08-01T00:00:00+03:00,NO,0.011
2021-08-01T00:00:00+03:00,CO,0.31
2021-09-01T00:00:00+03:00,CO,0.22
2021-09-01T00:00:00+03:00,NO,0.007
2021-09-01T00:00:00+03:00,NO2,0.023
2021-09-01T00:00:00+03:00,OZ,0.0289
2021-09-01T00:00:00+03:00,PM2.5,0.009
2021-10-01T00:00:00+03:00,NO,0.02
2021-10-01T00:00:00+03:00,CO,0.29
2021-10-01T00:00:00+03:00,OZ,0.0295
2021-10-01T00:00:00+03:00,PM2.5,0.014
2021-10-01T00:00:00+03:00,NO2,0.03
2021-11-01T00:00:00+03:00,NO2,0.023
2021-11-01T00:00:00+03:00,PM2.5,0.009
2021-11-01T00:00:00+03:00,OZ,0.0277
2021-11-01T00:00:00+03:00,CO,0.16
2021-11-01T00:00:00+03:00,NO,0.005
2021-12-01T00:00:00+03:00,PM2.5,0.011
2021-12-01T00:00:00+03:00,CO,0.25
2021-12-01T00:00:00+03:00,NO2,0.031
2021-12-01T00:00:00+03:00,NO,0.016
2021-12-01T00:00:00+03:00,OZ,0.0218
2022-01-01T00:00:00+03:00,NO2,0.032
2022-01-01T00:00:00+03:00,NO,0.006
2022-01-01T00:00:00+03:00,OZ,0.0361
2022-01-01T00:00:00+03:00,CO,0.19
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,PM2.5,0.009
2022-02-01T00:00:00+03:00,CO,0.18
2022-02-01T00:00:00+03:00,NO2,0.032
2022-02-01T00:00:00+03:00,NO,0.006
2022-02-01T00:00:00+03:00,OZ,0.0518
2022-03-01T00:00:00+03:00,CO,0.34
2022-03-01T00:00:00+03:00,NO2,0.039
2022-03-01T00:00:00+03:00,OZ,0.0632
2022-03-01T00:00:00+03:00,PM2.5,0.01
2022-03-01T00:00:00+03:00,NO,0.024
2022-04-01T00:00:00+03:00,NO2,0.028
2022-04-01T00:00:00+03:00,OZ,0.0733
2022-04-01T00:00:00+03:00,CO,0.23
2022-04-01T00:00:00+03:00,NO,0.005
2022-04-01T00:00:00+03:00,PM2.5,0.008
2022-05-01T00:00:00+03:00,PM2.5,0.009
2022-05-01T00:00:00+03:00,NO,0.004
2022-05-01T00:00:00+03:00,CO,0.17
2022-05-01T00:00:00+03:00,OZ,0.0769
2022-05-01T00:00:00+03:00,NO2,0.019
