datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,SO2,0.0019
2021-07-01T00:00:00+03:00,PM10,0.022
2021-07-01T00:00:00+03:00,NO2,0.05
2021-07-01T00:00:00+03:00,CO,0.37
2021-07-01T00:00:00+03:00,NO,0.025
2021-07-01T00:00:00+03:00,PM2.5,0.01
2021-08-01T00:00:00+03:00,NO,0.024
2021-08-01T00:00:00+03:00,PM2.5,0.012
2021-08-01T00:00:00+03:00,CO,0.44
2021-08-01T00:00:00+03:00,SO2,0.0022
2021-08-01T00:00:00+03:00,PM10,0.024
2021-08-01T00:00:00+03:00,NO2,0.052
2021-09-01T00:00:00+03:00,CO,0.39
2021-09-01T00:00:00+03:00,SO2,0.0029
2021-09-01T00:00:00+03:00,PM2.5,0.006
2021-09-01T00:00:00+03:00,NO,0.019
2021-09-01T00:00:00+03:00,NO2,0.034
2021-09-01T00:00:00+03:00,PM10,0.013
2021-10-01T00:00:00+03:00,NO,0.052
2021-10-01T00:00:00+03:00,SO2,0.0032
2021-10-01T00:00:00+03:00,PM2.5,0.01
2021-10-01T00:00:00+03:00,PM10,0.021
2021-10-01T00:00:00+03:00,NO2,0.048
2021-10-01T00:00:00+03:00,CO,0.5
2021-11-01T00:00:00+03:00,PM10,0.014
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,NO,0.018
2021-11-01T00:00:00+03:00,PM2.5,0.007
2021-11-01T00:00:00+03:00,CO,0.33
2021-11-01T00:00:00+03:00,SO2,0.0031
2021-12-01T00:00:00+03:00,NO,0.028
2021-12-01T00:00:00+03:00,NO2,0.046
2021-12-01T00:00:00+03:00,PM10,0.011
2021-12-01T00:00:00+03:00,SO2,0.0032
2021-12-01T00:00:00+03:00,CO,0.37
2021-12-01T00:00:00+03:00,PM2.5,0.008
2022-01-01T00:00:00+03:00,NO2,0.046
2022-01-01T00:00:00+03:00,SO2,0.0028
2022-01-01T00:00:00+03:00,PM2.5,0.007
2022-01-01T00:00:00+03:00,CO,0.32
2022-01-01T00:00:00+03:00,NO,0.016
2022-01-01T00:00:00+03:00,PM10,0.009
2022-02-01T00:00:00+03:00,SO2,0.0026
2022-02-01T00:00:00+03:00,CO,0.34
2022-02-01T00:00:00+03:00,PM2.5,0.007
2022-02-01T00:00:00+03:00,NO,0.016
2022-02-01T00:00:00+03:00,NO2,0.052
2022-02-01T00:00:00+03:00,PM10,0.012
2022-03-01T00:00:00+03:00,PM10,0.036
2022-03-01T00:00:00+03:00,NO,0.053
2022-03-01T00:00:00+03:00,SO2,0.0029
2022-03-01T00:00:00+03:00,PM2.5,0.008
2022-03-01T00:00:00+03:00,NO2,0.062
2022-03-01T00:00:00+03:00,CO,0.45
2022-04-01T00:00:00+03:00,PM10,0.02
2022-04-01T00:00:00+03:00,SO2,0.0012
2022-04-01T00:00:00+03:00,NO2,0.037
2022-04-01T00:00:00+03:00,NO,0.008
2022-04-01T00:00:00+03:00,CO,0.25
2022-04-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,CO,0.18
2022-05-01T00:00:00+03:00,PM10,0.018
2022-05-01T00:00:00+03:00,NO,0.013
2022-05-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,NO2,0.035
2022-05-01T00:00:00+03:00,SO2,0.0012
