datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,C7H8 (толуол),0.001
2022-06-09T16:00:00+03:00,C10H8 (нафталин),0
2022-06-09T16:00:00+03:00,H2S,0.0014
2022-06-09T16:00:00+03:00,C6H6 (бензол),0.003
2022-06-09T16:00:00+03:00,C6H5OH (фенол),0.002
2022-06-09T16:00:00+03:00,CH4,1.33
2022-06-09T16:00:00+03:00,NO2,0.081
2022-06-09T16:00:00+03:00,C8H8 (стирол),0.0005
2022-06-09T16:00:00+03:00,CO,0.43
2022-06-09T16:00:00+03:00,CH2O (формальдегид),0.0056
2022-06-09T16:00:00+03:00,NO,0.07
2022-06-09T16:00:00+03:00,OZ,0.0862
2022-06-09T16:00:00+03:00,SO2,0.001
2022-06-09T17:00:00+03:00,CH4,1.33
2022-06-09T17:00:00+03:00,C10H8 (нафталин),0.0001
2022-06-09T17:00:00+03:00,SO2,0.0011
2022-06-09T17:00:00+03:00,NO2,0.067
2022-06-09T17:00:00+03:00,C6H6 (бензол),0.003
2022-06-09T17:00:00+03:00,H2S,0.0011
2022-06-09T17:00:00+03:00,CO,0.27
2022-06-09T17:00:00+03:00,C7H8 (толуол),0
2022-06-09T17:00:00+03:00,NO,0.04
2022-06-09T17:00:00+03:00,C8H8 (стирол),0.0004
2022-06-09T17:00:00+03:00,OZ,0.0837
2022-06-09T17:00:00+03:00,C6H5OH (фенол),0.002
2022-06-09T17:00:00+03:00,CH2O (формальдегид),0.0051
2022-06-09T18:00:00+03:00,H2S,0.001
2022-06-09T18:00:00+03:00,CH4,1.33
2022-06-09T18:00:00+03:00,CH2O (формальдегид),0.0051
2022-06-09T18:00:00+03:00,C10H8 (нафталин),0.0001
2022-06-09T18:00:00+03:00,NO2,0.055
2022-06-09T18:00:00+03:00,OZ,0.0472
2022-06-09T18:00:00+03:00,CO,0.27
2022-06-09T18:00:00+03:00,C6H5OH (фенол),0.0019
2022-06-09T18:00:00+03:00,C6H6 (бензол),0.002
2022-06-09T18:00:00+03:00,SO2,0.0006
2022-06-09T18:00:00+03:00,C7H8 (толуол),0.003
2022-06-09T18:00:00+03:00,C8H8 (стирол),0.0017
2022-06-09T18:00:00+03:00,NO,0.029
2022-06-09T19:00:00+03:00,C7H8 (толуол),0.003
2022-06-09T19:00:00+03:00,H2S,0.0011
2022-06-09T19:00:00+03:00,C10H8 (нафталин),0
2022-06-09T19:00:00+03:00,SO2,0.0008
2022-06-09T19:00:00+03:00,C6H5OH (фенол),0.002
2022-06-09T19:00:00+03:00,CH4,1.33
2022-06-09T19:00:00+03:00,C6H6 (бензол),0.002
2022-06-09T19:00:00+03:00,NO2,0.061
2022-06-09T19:00:00+03:00,CH2O (формальдегид),0.0055
2022-06-09T19:00:00+03:00,C8H8 (стирол),0.0011
2022-06-09T19:00:00+03:00,OZ,0.045
2022-06-09T19:00:00+03:00,CO,0.33
2022-06-09T19:00:00+03:00,NO,0.034
2022-06-09T20:00:00+03:00,C6H5OH (фенол),0.002
2022-06-09T20:00:00+03:00,C10H8 (нафталин),0.0001
2022-06-09T20:00:00+03:00,C6H6 (бензол),0.001
2022-06-09T20:00:00+03:00,NO,0.043
2022-06-09T20:00:00+03:00,CH2O (формальдегид),0.0063
2022-06-09T20:00:00+03:00,OZ,0.024
2022-06-09T20:00:00+03:00,H2S,0.0013
2022-06-09T20:00:00+03:00,CO,0.47
2022-06-09T20:00:00+03:00,C7H8 (толуол),0.005
2022-06-09T20:00:00+03:00,SO2,0.0005
2022-06-09T20:00:00+03:00,C8H8 (стирол),0.0018
2022-06-09T20:00:00+03:00,CH4,1.34
2022-06-09T20:00:00+03:00,NO2,0.08
2022-06-09T21:00:00+03:00,C6H5OH (фенол),0.0019
2022-06-09T21:00:00+03:00,OZ,0.0009
2022-06-09T21:00:00+03:00,C10H8 (нафталин),0.0005
