datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.013
2021-07-01T00:00:00+03:00,NO2,0.026
2021-07-01T00:00:00+03:00,NO,0.013
2021-07-01T00:00:00+03:00,CO,0.26
2021-08-01T00:00:00+03:00,NO2,0.025
2021-08-01T00:00:00+03:00,PM2.5,0.014
2021-08-01T00:00:00+03:00,NO,0.01
2021-08-01T00:00:00+03:00,CO,0.33
2021-09-01T00:00:00+03:00,NO2,0.016
2021-09-01T00:00:00+03:00,CO,0.21
2021-09-01T00:00:00+03:00,NO,0.007
2021-09-01T00:00:00+03:00,PM2.5,0.007
2021-10-01T00:00:00+03:00,CO,0.4
2021-10-01T00:00:00+03:00,NO2,0.025
2021-10-01T00:00:00+03:00,PM2.5,
2021-10-01T00:00:00+03:00,NO,0.026
2021-11-01T00:00:00+03:00,NO,0.007
2021-11-01T00:00:00+03:00,CO,0.2
2021-11-01T00:00:00+03:00,PM2.5,
2021-11-01T00:00:00+03:00,NO2,0.02
2021-12-01T00:00:00+03:00,PM2.5,
2021-12-01T00:00:00+03:00,NO2,0.032
2021-12-01T00:00:00+03:00,CO,0.31
2021-12-01T00:00:00+03:00,NO,0.025
2022-01-01T00:00:00+03:00,PM2.5,
2022-01-01T00:00:00+03:00,NO2,0.031
2022-01-01T00:00:00+03:00,NO,0.009
2022-01-01T00:00:00+03:00,CO,0.22
2022-02-01T00:00:00+03:00,PM2.5,
2022-02-01T00:00:00+03:00,CO,0.25
2022-02-01T00:00:00+03:00,NO2,0.03
2022-02-01T00:00:00+03:00,NO,0.009
2022-03-01T00:00:00+03:00,PM2.5,
2022-03-01T00:00:00+03:00,NO2,0.037
2022-03-01T00:00:00+03:00,NO,0.024
2022-03-01T00:00:00+03:00,CO,0.28
2022-04-01T00:00:00+03:00,NO2,0.024
2022-04-01T00:00:00+03:00,PM2.5,
2022-04-01T00:00:00+03:00,NO,0.008
2022-04-01T00:00:00+03:00,CO,0.2
2022-05-01T00:00:00+03:00,PM2.5,
2022-05-01T00:00:00+03:00,CO,0.19
2022-05-01T00:00:00+03:00,NO,0.006
2022-05-01T00:00:00+03:00,NO2,0.019
