[2022-07-19 17:26:58,375] INFO: Trying to get data on 07.01.2012
[2022-07-19 17:27:04,737] INFO: Extracted data for stations in cities: Иркутск — 1; Усолье-Сибирское — 1
[2022-07-19 17:27:09,755] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-01-07.json
[2022-07-19 17:27:09,756] INFO: Trying to get data on 14.01.2012
[2022-07-19 17:27:15,863] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:27:20,900] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-01-14.json
[2022-07-19 17:27:20,901] INFO: Trying to get data on 21.01.2012
[2022-07-19 17:27:27,738] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:27:32,776] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-01-21.json
[2022-07-19 17:27:32,777] INFO: Trying to get data on 28.01.2012
[2022-07-19 17:27:40,866] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:27:45,899] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-01-28.json
[2022-07-19 17:27:45,899] INFO: Trying to get data on 04.02.2012
[2022-07-19 17:27:53,995] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:27:59,034] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-02-04.json
[2022-07-19 17:27:59,034] INFO: Trying to get data on 11.02.2012
[2022-07-19 17:28:09,724] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:28:14,744] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-02-11.json
[2022-07-19 17:28:14,744] INFO: Trying to get data on 18.02.2012
[2022-07-19 17:28:22,706] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:28:27,749] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-02-18.json
[2022-07-19 17:28:27,749] INFO: Trying to get data on 25.02.2012
[2022-07-19 17:28:36,310] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:28:41,332] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-02-25.json
[2022-07-19 17:28:41,333] INFO: Trying to get data on 03.03.2012
[2022-07-19 17:28:51,598] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:28:56,623] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-03-03.json
[2022-07-19 17:28:56,624] INFO: Trying to get data on 10.03.2012
[2022-07-19 17:29:05,159] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:29:10,178] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-03-10.json
[2022-07-19 17:29:10,178] INFO: Trying to get data on 17.03.2012
[2022-07-19 17:29:21,236] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:29:26,268] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-03-17.json
[2022-07-19 17:29:26,268] INFO: Trying to get data on 24.03.2012
[2022-07-19 17:29:34,599] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:29:39,649] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-03-24.json
[2022-07-19 17:29:39,650] INFO: Trying to get data on 31.03.2012
