[2023-02-27 23:16:10,967] INFO: Processed special_station troitsk-2
[2023-02-27 23:16:11,024] INFO: Processed special_station mkad105
[2023-02-27 23:16:11,035] INFO: Processed special_station spartakovskaya-ploshhad
[2023-02-27 23:16:11,052] INFO: Processed special_station troizk-2
[2023-02-27 23:16:11,083] INFO: Processed special_station mkad-52-km-zapad
[2023-02-27 23:16:13,059] INFO: Processed profiler vostok
[2023-02-27 23:16:14,202] INFO: Processed profiler ostankino
[2023-02-27 23:16:14,238] INFO: Processed station shherbinka
[2023-02-27 23:16:14,327] INFO: Processed station mgu
[2023-02-27 23:16:14,366] INFO: Processed station chayanova
[2023-02-27 23:16:14,425] INFO: Processed station akademika-anoxina
[2023-02-27 23:16:14,535] INFO: Processed station kozhuxovskij-proezd
[2023-02-27 23:16:14,604] INFO: Processed station birulevo
[2023-02-27 23:16:14,659] INFO: Processed station zelenograd-11
[2023-02-27 23:16:14,705] INFO: Processed station svetlyj-proezd
[2023-02-27 23:16:14,795] INFO: Processed station kozhuxovo
[2023-02-27 23:16:14,844] INFO: Processed station gurevskij-proezd
[2023-02-27 23:16:14,926] INFO: Processed station dolgoprudnaya
[2023-02-27 23:16:14,989] INFO: Processed station koptevskij
[2023-02-27 23:16:14,998] INFO: Processed station troick
[2023-02-27 23:16:15,061] INFO: Processed station bazovskaya
[2023-02-27 23:16:15,109] INFO: Processed station melitopolskaya
[2023-02-27 23:16:15,155] INFO: Processed station madi
[2023-02-27 23:16:15,265] INFO: Processed station xamovniki
[2023-02-27 23:16:15,331] INFO: Processed station brateevo
[2023-02-27 23:16:15,383] INFO: Processed station polyarnaya
[2023-02-27 23:16:15,442] INFO: Processed station kazakova
[2023-02-27 23:16:15,517] INFO: Processed station turistskaya
[2023-02-27 23:16:15,568] INFO: Processed station lyublino
[2023-02-27 23:16:15,628] INFO: Processed station kapotnya
[2023-02-27 23:16:15,692] INFO: Processed station butlerova
[2023-02-27 23:16:15,840] INFO: Processed station nizhnyaya-maslovka
[2023-02-27 23:16:15,915] INFO: Processed station shabolovka
[2023-02-27 23:16:15,997] INFO: Processed station veshnyaki
[2023-02-27 23:16:16,033] INFO: Processed station ochakovskoe-2
[2023-02-27 23:16:16,090] INFO: Processed station proletarskij-prospekt
[2023-02-27 23:16:16,141] INFO: Processed station novokosino
[2023-02-27 23:16:16,202] INFO: Processed station zelenograd-16
[2023-02-27 23:16:16,249] INFO: Processed station zelenograd-6
[2023-02-27 23:16:16,325] INFO: Processed station glebovskaya
[2023-02-27 23:16:16,423] INFO: Processed station ostankino-0
[2023-02-27 23:16:16,482] INFO: Processed station cheremushki
[2023-02-27 23:16:16,564] INFO: Processed station m2-zhulebino
[2023-02-27 23:16:16,635] INFO: Processed station ochakovskaya
[2023-02-27 23:16:16,745] INFO: Processed station ploshhad-gagarina
[2023-02-27 23:16:16,788] INFO: Processed station salarevo
[2023-02-27 23:16:16,876] INFO: Processed station spiridonovka
[2023-02-27 23:16:16,921] INFO: Processed station golovacheva
[2023-02-27 23:16:16,989] INFO: Processed station suxarevskaya-ploshhad
[2023-02-27 23:16:17,033] INFO: Processed station tolbuxina
[2023-02-27 23:16:17,067] INFO: Processed station troitsk
[2023-02-27 23:16:17,098] INFO: Processed station kuznecovo
[2023-02-27 23:16:17,141] INFO: Processed station semenkovo
[2023-02-27 23:16:17,180] INFO: Processed station losinyj-ostrov
[2023-02-27 23:16:17,240] INFO: Processed station rogovo
[2023-02-27 23:16:17,309] INFO: Processed station texnopolis
[2023-02-27 23:16:17,375] INFO: Processed station narodnogo-opolcheniya
[2023-02-27 23:16:17,455] INFO: Processed station marino
[2023-02-27 23:16:17,538] INFO: Processed station guryanova
