[2023-06-11 23:13:54,974] INFO: Processed station narodnogo-opolcheniya
[2023-06-11 23:13:55,089] INFO: Processed station kozhuxovo
[2023-06-11 23:13:55,173] INFO: Processed station birulevo
[2023-06-11 23:13:55,325] INFO: Processed station kozhuxovskij-proezd
[2023-06-11 23:13:55,372] INFO: Processed station chayanova
[2023-06-11 23:13:55,472] INFO: Processed station shabolovka
[2023-06-11 23:13:55,624] INFO: Processed station nizhnyaya-maslovka
[2023-06-11 23:13:55,685] INFO: Processed station zelenograd-6
[2023-06-11 23:13:55,745] INFO: Processed station madi
[2023-06-11 23:13:55,823] INFO: Processed station bazovskaya
[2023-06-11 23:13:55,832] INFO: Processed station troick
[2023-06-11 23:13:55,915] INFO: Processed station brateevo
[2023-06-11 23:13:56,018] INFO: Processed station marino
[2023-06-11 23:13:56,134] INFO: Processed station ostankino-0
[2023-06-11 23:13:56,217] INFO: Processed station texnopolis
[2023-06-11 23:13:56,308] INFO: Processed station ochakovskaya
[2023-06-11 23:13:56,411] INFO: Processed station m2-zhulebino
[2023-06-11 23:13:56,555] INFO: Processed station ploshhad-gagarina
[2023-06-11 23:13:56,601] INFO: Processed station shherbinka
[2023-06-11 23:13:56,707] INFO: Processed station guryanova
[2023-06-11 23:13:56,751] INFO: Processed station golovacheva
[2023-06-11 23:13:56,843] INFO: Processed station glebovskaya
[2023-06-11 23:13:56,908] INFO: Processed station novokosino
[2023-06-11 23:13:56,970] INFO: Processed station gurevskij-proezd
[2023-06-11 23:13:57,074] INFO: Processed station spiridonovka
[2023-06-11 23:13:57,152] INFO: Processed station suxarevskaya-ploshhad
[2023-06-11 23:13:57,256] INFO: Processed station dolgoprudnaya
[2023-06-11 23:13:57,315] INFO: Processed station cheremushki
[2023-06-11 23:13:57,373] INFO: Processed station svetlyj-proezd
[2023-06-11 23:13:57,429] INFO: Processed station tolbuxina
[2023-06-11 23:13:57,500] INFO: Processed station proletarskij-prospekt
[2023-06-11 23:13:57,626] INFO: Processed station xamovniki
[2023-06-11 23:13:57,701] INFO: Processed station koptevskij
[2023-06-11 23:13:57,749] INFO: Processed station salarevo
[2023-06-11 23:13:57,792] INFO: Processed station kuznecovo
[2023-06-11 23:13:57,864] INFO: Processed station akademika-anoxina
[2023-06-11 23:13:57,936] INFO: Processed station zelenograd-11
[2023-06-11 23:13:58,022] INFO: Processed station turistskaya
[2023-06-11 23:13:58,093] INFO: Processed station kazakova
[2023-06-11 23:13:58,205] INFO: Processed station mgu
[2023-06-11 23:13:58,262] INFO: Processed station polyarnaya
[2023-06-11 23:13:58,366] INFO: Processed station veshnyaki
[2023-06-11 23:13:58,427] INFO: Processed station melitopolskaya
[2023-06-11 23:13:58,495] INFO: Processed station rogovo
[2023-06-11 23:13:58,559] INFO: Processed station lyublino
[2023-06-11 23:13:58,607] INFO: Processed station losinyj-ostrov
[2023-06-11 23:13:58,682] INFO: Processed station kapotnya
[2023-06-11 23:13:58,738] INFO: Processed station semenkovo
[2023-06-11 23:13:58,818] INFO: Processed station butlerova
[2023-06-11 23:13:58,899] INFO: Processed station zelenograd-16
[2023-06-11 23:13:58,945] INFO: Processed station ochakovskoe-2
[2023-06-11 23:13:58,987] INFO: Processed station troitsk
[2023-06-11 23:14:01,807] INFO: Processed profiler vostok
[2023-06-11 23:14:03,482] INFO: Processed profiler ostankino
[2023-06-11 23:14:03,493] INFO: Processed special_station spartakovskaya-ploshhad
[2023-06-11 23:14:03,525] INFO: Processed special_station troitsk-2
[2023-06-11 23:14:03,596] INFO: Processed special_station mkad105
[2023-06-11 23:14:03,640] INFO: Processed special_station mkad-52-km-zapad
[2023-06-11 23:14:03,657] INFO: Processed special_station troizk-2
