[2024-02-26 23:44:48,998] INFO: Processed special_station mkad-52-km-zapad
[2024-02-26 23:44:49,007] INFO: Processed special_station spartakovskaya-ploshhad
[2024-02-26 23:44:49,035] INFO: Processed special_station troitsk-2
[2024-02-26 23:44:49,130] INFO: Processed special_station mkad105
[2024-02-26 23:44:49,144] INFO: Processed special_station troizk-2
[2024-02-26 23:44:49,145] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2024-02-26 23:44:49,146] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2024-02-26 23:44:49,272] INFO: Processed station suxarevskaya-ploshhad
[2024-02-26 23:44:49,323] INFO: Processed station cheremushki
[2024-02-26 23:44:49,453] INFO: Processed station m2-zhulebino
[2024-02-26 23:44:49,535] INFO: Processed station svetlyj-proezd
[2024-02-26 23:44:49,678] INFO: Processed station spiridonovka
[2024-02-26 23:44:49,792] INFO: Processed station ochakovskaya
[2024-02-26 23:44:49,914] INFO: Processed station turistskaya
[2024-02-26 23:44:50,003] INFO: Processed station proletarskij-prospekt
[2024-02-26 23:44:50,193] INFO: Processed station ploshhad-gagarina
[2024-02-26 23:44:50,254] INFO: Processed station salarevo
[2024-02-26 23:44:50,356] INFO: Processed station butlerova
[2024-02-26 23:44:50,457] INFO: Processed station kazakova
[2024-02-26 23:44:50,659] INFO: Processed station xamovniki
[2024-02-26 23:44:50,761] INFO: Processed station koptevskij
[2024-02-26 23:44:50,843] INFO: Processed station polyarnaya
[2024-02-26 23:44:50,930] INFO: Processed station texnopolis
[2024-02-26 23:44:50,993] INFO: Processed station chayanova
[2024-02-26 23:44:51,048] INFO: Processed station troitsk
[2024-02-26 23:44:51,133] INFO: Processed station novokosino
[2024-02-26 23:44:51,185] INFO: Processed station ochakovskoe-2
[2024-02-26 23:44:51,300] INFO: Processed station glebovskaya
[2024-02-26 23:44:51,379] INFO: Processed station zelenograd-6
[2024-02-26 23:44:51,459] INFO: Processed station gurevskij-proezd
[2024-02-26 23:44:51,531] INFO: Processed station semenkovo
[2024-02-26 23:44:51,758] INFO: Processed station nizhnyaya-maslovka
[2024-02-26 23:44:51,815] INFO: Processed station kuznecovo
[2024-02-26 23:44:51,894] INFO: Processed station melitopolskaya
[2024-02-26 23:44:51,957] INFO: Processed station losinyj-ostrov
[2024-02-26 23:44:52,086] INFO: Processed station marino
[2024-02-26 23:44:52,211] INFO: Processed station rogovo
[2024-02-26 23:44:52,412] INFO: Processed station kozhuxovskij-proezd
[2024-02-26 23:44:52,486] INFO: Processed station tolbuxina
[2024-02-26 23:44:52,611] INFO: Processed station guryanova
[2024-02-26 23:44:52,671] INFO: Processed station shherbinka
[2024-02-26 23:44:52,678] INFO: Processed station troick
[2024-02-26 23:44:52,800] INFO: Processed station dolgoprudnaya
[2024-02-26 23:44:52,876] INFO: Processed station lyublino
[2024-02-26 23:44:52,996] INFO: Processed station shabolovka
[2024-02-26 23:44:53,068] INFO: Processed station brateevo
[2024-02-26 23:44:53,146] INFO: Processed station madi
[2024-02-26 23:44:53,292] INFO: Processed station kozhuxovo
[2024-02-26 23:44:53,386] INFO: Processed station bazovskaya
[2024-02-26 23:44:53,545] INFO: Processed station ostankino-0
[2024-02-26 23:44:53,641] INFO: Processed station zelenograd-16
[2024-02-26 23:44:53,770] INFO: Processed station veshnyaki
[2024-02-26 23:44:53,882] INFO: Processed station birulevo
[2024-02-26 23:44:53,981] INFO: Processed station kapotnya
[2024-02-26 23:44:54,089] INFO: Processed station narodnogo-opolcheniya
[2024-02-26 23:44:54,185] INFO: Processed station zelenograd-11
[2024-02-26 23:44:54,221] INFO: Processed station golovacheva
[2024-02-26 23:44:54,316] INFO: Processed station akademika-anoxina
[2024-02-26 23:44:54,459] INFO: Processed station mgu
