[2024-05-07 01:27:15,999] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2024-05-07 01:27:16,000] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2024-05-07 01:27:16,027] INFO: Processed special_station troitsk-2
[2024-05-07 01:27:16,041] INFO: Processed special_station troizk-2
[2024-05-07 01:27:16,051] INFO: Processed special_station spartakovskaya-ploshhad
[2024-05-07 01:27:16,114] INFO: Processed special_station mkad-52-km-zapad
[2024-05-07 01:27:16,206] INFO: Processed special_station mkad105
[2024-05-07 01:27:16,257] INFO: Processed station cheremushki
[2024-05-07 01:27:16,458] INFO: Processed station kozhuxovskij-proezd
[2024-05-07 01:27:16,561] INFO: Processed station suxarevskaya-ploshhad
[2024-05-07 01:27:16,764] INFO: Processed station xamovniki
[2024-05-07 01:27:16,823] INFO: Processed station salarevo
[2024-05-07 01:27:16,926] INFO: Processed station birulevo
[2024-05-07 01:27:17,004] INFO: Processed station gurevskij-proezd
[2024-05-07 01:27:17,136] INFO: Processed station spiridonovka
[2024-05-07 01:27:17,246] INFO: Processed station ochakovskaya
[2024-05-07 01:27:17,349] INFO: Processed station narodnogo-opolcheniya
[2024-05-07 01:27:17,439] INFO: Processed station zelenograd-11
[2024-05-07 01:27:17,516] INFO: Processed station polyarnaya
[2024-05-07 01:27:17,631] INFO: Processed station shabolovka
[2024-05-07 01:27:17,807] INFO: Processed station ploshhad-gagarina
[2024-05-07 01:27:17,899] INFO: Processed station kazakova
[2024-05-07 01:27:17,949] INFO: Processed station troitsk
[2024-05-07 01:27:17,997] INFO: Processed station ochakovskoe-2
[2024-05-07 01:27:18,105] INFO: Processed station glebovskaya
[2024-05-07 01:27:18,179] INFO: Processed station melitopolskaya
[2024-05-07 01:27:18,249] INFO: Processed station tolbuxina
[2024-05-07 01:27:18,319] INFO: Processed station brateevo
[2024-05-07 01:27:18,412] INFO: Processed station zelenograd-16
[2024-05-07 01:27:18,447] INFO: Processed station golovacheva
[2024-05-07 01:27:18,504] INFO: Processed station shherbinka
[2024-05-07 01:27:18,575] INFO: Processed station svetlyj-proezd
[2024-05-07 01:27:18,649] INFO: Processed station madi
[2024-05-07 01:27:18,760] INFO: Processed station rogovo
[2024-05-07 01:27:18,832] INFO: Processed station lyublino
[2024-05-07 01:27:18,954] INFO: Processed station marino
[2024-05-07 01:27:19,149] INFO: Processed station nizhnyaya-maslovka
[2024-05-07 01:27:19,242] INFO: Processed station butlerova
[2024-05-07 01:27:19,318] INFO: Processed station texnopolis
[2024-05-07 01:27:19,399] INFO: Processed station proletarskij-prospekt
[2024-05-07 01:27:19,491] INFO: Processed station akademika-anoxina
[2024-05-07 01:27:19,607] INFO: Processed station dolgoprudnaya
[2024-05-07 01:27:19,689] INFO: Processed station zelenograd-6
[2024-05-07 01:27:19,812] INFO: Processed station veshnyaki
[2024-05-07 01:27:19,904] INFO: Processed station kapotnya
[2024-05-07 01:27:19,968] INFO: Processed station semenkovo
[2024-05-07 01:27:20,110] INFO: Processed station ostankino-0
[2024-05-07 01:27:20,198] INFO: Processed station bazovskaya
[2024-05-07 01:27:20,253] INFO: Processed station chayanova
[2024-05-07 01:27:20,349] INFO: Processed station koptevskij
[2024-05-07 01:27:20,428] INFO: Processed station novokosino
[2024-05-07 01:27:20,485] INFO: Processed station losinyj-ostrov
[2024-05-07 01:27:20,615] INFO: Processed station mgu
[2024-05-07 01:27:20,725] INFO: Processed station turistskaya
[2024-05-07 01:27:20,780] INFO: Processed station kuznecovo
[2024-05-07 01:27:20,787] INFO: Processed station troick
[2024-05-07 01:27:20,905] INFO: Processed station m2-zhulebino
[2024-05-07 01:27:21,044] INFO: Processed station kozhuxovo
[2024-05-07 01:27:21,160] INFO: Processed station guryanova
