[2024-10-27 01:28:43,933] INFO: Processed special_station troizk-2
[2024-10-27 01:28:44,008] INFO: Processed special_station mkad-52-km-zapad
[2024-10-27 01:28:44,034] INFO: Processed special_station troitsk-2
[2024-10-27 01:28:44,142] INFO: Processed special_station mkad105
[2024-10-27 01:28:44,151] INFO: Processed special_station spartakovskaya-ploshhad
[2024-10-27 01:28:44,151] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2024-10-27 01:28:44,152] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2024-10-27 01:28:44,276] INFO: Processed station narodnogo-opolcheniya
[2024-10-27 01:28:44,377] INFO: Processed station texnopolis
[2024-10-27 01:28:44,491] INFO: Processed station koptevskij
[2024-10-27 01:28:44,604] INFO: Processed station kazakova
[2024-10-27 01:28:44,672] INFO: Processed station losinyj-ostrov
[2024-10-27 01:28:44,746] INFO: Processed station salarevo
[2024-10-27 01:28:44,918] INFO: Processed station glebovskaya
[2024-10-27 01:28:45,075] INFO: Processed station mgu
[2024-10-27 01:28:45,140] INFO: Processed station chayanova
[2024-10-27 01:28:45,315] INFO: Processed station ostankino-0
[2024-10-27 01:28:45,483] INFO: Processed station kozhuxovo
[2024-10-27 01:28:45,551] INFO: Processed station brateevo
[2024-10-27 01:28:45,659] INFO: Processed station zelenograd-16
[2024-10-27 01:28:45,719] INFO: Processed station ochakovskoe-2
[2024-10-27 01:28:45,821] INFO: Processed station proletarskij-prospekt
[2024-10-27 01:28:45,964] INFO: Processed station guryanova
[2024-10-27 01:28:46,073] INFO: Processed station butlerova
[2024-10-27 01:28:46,307] INFO: Processed station kozhuxovskij-proezd
[2024-10-27 01:28:46,445] INFO: Processed station shabolovka
[2024-10-27 01:28:46,559] INFO: Processed station kapotnya
[2024-10-27 01:28:46,605] INFO: Processed station cheremushki
[2024-10-27 01:28:46,673] INFO: Processed station shherbinka
[2024-10-27 01:28:46,829] INFO: Processed station rogovo
[2024-10-27 01:28:46,836] INFO: Processed station troick
[2024-10-27 01:28:46,926] INFO: Processed station tolbuxina
[2024-10-27 01:28:46,994] INFO: Processed station kuznecovo
[2024-10-27 01:28:47,266] INFO: Processed station nizhnyaya-maslovka
[2024-10-27 01:28:47,518] INFO: Processed station xamovniki
[2024-10-27 01:28:47,618] INFO: Processed station novokosino
[2024-10-27 01:28:47,722] INFO: Processed station zelenograd-11
[2024-10-27 01:28:47,846] INFO: Processed station birulevo
[2024-10-27 01:28:47,936] INFO: Processed station svetlyj-proezd
[2024-10-27 01:28:48,010] INFO: Processed station semenkovo
[2024-10-27 01:28:48,121] INFO: Processed station bazovskaya
[2024-10-27 01:28:48,211] INFO: Processed station melitopolskaya
[2024-10-27 01:28:48,353] INFO: Processed station marino
[2024-10-27 01:28:48,490] INFO: Processed station ochakovskaya
[2024-10-27 01:28:48,584] INFO: Processed station polyarnaya
[2024-10-27 01:28:48,647] INFO: Processed station troitsk
[2024-10-27 01:28:48,790] INFO: Processed station dolgoprudnaya
[2024-10-27 01:28:48,935] INFO: Processed station m2-zhulebino
[2024-10-27 01:28:49,021] INFO: Processed station zelenograd-6
[2024-10-27 01:28:49,169] INFO: Processed station spiridonovka
[2024-10-27 01:28:49,310] INFO: Processed station veshnyaki
[2024-10-27 01:28:49,522] INFO: Processed station ploshhad-gagarina
[2024-10-27 01:28:49,609] INFO: Processed station madi
[2024-10-27 01:28:49,716] INFO: Processed station akademika-anoxina
[2024-10-27 01:28:49,838] INFO: Processed station suxarevskaya-ploshhad
[2024-10-27 01:28:49,929] INFO: Processed station lyublino
[2024-10-27 01:28:50,016] INFO: Processed station gurevskij-proezd
[2024-10-27 01:28:50,147] INFO: Processed station turistskaya
[2024-10-27 01:28:50,183] INFO: Processed station golovacheva
