[2025-02-24 01:25:27,958] INFO: Processed station ochakovskaya
[2025-02-24 01:25:28,057] INFO: Processed station madi
[2025-02-24 01:25:28,130] INFO: Processed station brateevo
[2025-02-24 01:25:28,139] INFO: Processed station troick
[2025-02-24 01:25:28,240] INFO: Processed station melitopolskaya
[2025-02-24 01:25:28,305] INFO: Processed station ochakovskoe-2
[2025-02-24 01:25:28,455] INFO: Processed station shabolovka
[2025-02-24 01:25:28,596] INFO: Processed station narodnogo-opolcheniya
[2025-02-24 01:25:28,759] INFO: Processed station veshnyaki
[2025-02-24 01:25:28,834] INFO: Processed station shherbinka
[2025-02-24 01:25:29,010] INFO: Processed station glebovskaya
[2025-02-24 01:25:29,083] INFO: Processed station kuznecovo
[2025-02-24 01:25:29,194] INFO: Processed station novokosino
[2025-02-24 01:25:29,368] INFO: Processed station mgu
[2025-02-24 01:25:29,543] INFO: Processed station rogovo
[2025-02-24 01:25:29,815] INFO: Processed station xamovniki
[2025-02-24 01:25:29,980] INFO: Processed station spiridonovka
[2025-02-24 01:25:30,106] INFO: Processed station kazakova
[2025-02-24 01:25:30,232] INFO: Processed station koptevskij
[2025-02-24 01:25:30,283] INFO: Processed station cheremushki
[2025-02-24 01:25:30,322] INFO: Processed station golovacheva
[2025-02-24 01:25:30,480] INFO: Processed station guryanova
[2025-02-24 01:25:30,581] INFO: Processed station lyublino
[2025-02-24 01:25:30,731] INFO: Processed station turistskaya
[2025-02-24 01:25:30,890] INFO: Processed station m2-zhulebino
[2025-02-24 01:25:30,971] INFO: Processed station salarevo
[2025-02-24 01:25:31,091] INFO: Processed station zelenograd-16
[2025-02-24 01:25:31,163] INFO: Processed station chayanova
[2025-02-24 01:25:31,260] INFO: Processed station zelenograd-6
[2025-02-24 01:25:31,336] INFO: Processed station losinyj-ostrov
[2025-02-24 01:25:31,467] INFO: Processed station kapotnya
[2025-02-24 01:25:31,584] INFO: Processed station zelenograd-11
[2025-02-24 01:25:31,748] INFO: Processed station marino
[2025-02-24 01:25:31,851] INFO: Processed station polyarnaya
[2025-02-24 01:25:31,950] INFO: Processed station tolbuxina
[2025-02-24 01:25:32,087] INFO: Processed station suxarevskaya-ploshhad
[2025-02-24 01:25:32,169] INFO: Processed station semenkovo
[2025-02-24 01:25:32,388] INFO: Processed station ploshhad-gagarina
[2025-02-24 01:25:32,486] INFO: Processed station svetlyj-proezd
[2025-02-24 01:25:32,553] INFO: Processed station troitsk
[2025-02-24 01:25:32,650] INFO: Processed station gurevskij-proezd
[2025-02-24 01:25:32,761] INFO: Processed station proletarskij-prospekt
[2025-02-24 01:25:32,950] INFO: Processed station kozhuxovo
[2025-02-24 01:25:33,230] INFO: Processed station nizhnyaya-maslovka
[2025-02-24 01:25:33,472] INFO: Processed station kozhuxovskij-proezd
[2025-02-24 01:25:33,672] INFO: Processed station ostankino-0
[2025-02-24 01:25:33,795] INFO: Processed station butlerova
[2025-02-24 01:25:33,908] INFO: Processed station texnopolis
[2025-02-24 01:25:34,032] INFO: Processed station bazovskaya
[2025-02-24 01:25:34,195] INFO: Processed station dolgoprudnaya
[2025-02-24 01:25:34,314] INFO: Processed station akademika-anoxina
[2025-02-24 01:25:34,451] INFO: Processed station birulevo
[2025-02-24 01:25:34,452] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2025-02-24 01:25:34,453] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2025-02-24 01:25:34,534] INFO: Processed special_station mkad-52-km-zapad
[2025-02-24 01:25:34,656] INFO: Processed special_station mkad105
[2025-02-24 01:25:34,686] INFO: Processed special_station troitsk-2
[2025-02-24 01:25:34,701] INFO: Processed special_station troizk-2
[2025-02-24 01:25:34,710] INFO: Processed special_station spartakovskaya-ploshhad
