[2025-05-06 01:45:38,966] INFO: Processed station cheremushki
[2025-05-06 01:45:39,122] INFO: Processed station suxarevskaya-ploshhad
[2025-05-06 01:45:39,368] INFO: Processed station ploshhad-gagarina
[2025-05-06 01:45:39,495] INFO: Processed station zelenograd-11
[2025-05-06 01:45:39,605] INFO: Processed station madi
[2025-05-06 01:45:39,745] INFO: Processed station koptevskij
[2025-05-06 01:45:39,925] INFO: Processed station m2-zhulebino
[2025-05-06 01:45:40,009] INFO: Processed station shherbinka
[2025-05-06 01:45:40,196] INFO: Processed station glebovskaya
[2025-05-06 01:45:40,326] INFO: Processed station akademika-anoxina
[2025-05-06 01:45:40,415] INFO: Processed station losinyj-ostrov
[2025-05-06 01:45:40,488] INFO: Processed station brateevo
[2025-05-06 01:45:40,610] INFO: Processed station novokosino
[2025-05-06 01:45:40,706] INFO: Processed station semenkovo
[2025-05-06 01:45:40,893] INFO: Processed station marino
[2025-05-06 01:45:41,010] INFO: Processed station polyarnaya
[2025-05-06 01:45:41,166] INFO: Processed station birulevo
[2025-05-06 01:45:41,347] INFO: Processed station veshnyaki
[2025-05-06 01:45:41,511] INFO: Processed station turistskaya
[2025-05-06 01:45:41,647] INFO: Processed station butlerova
[2025-05-06 01:45:41,764] INFO: Processed station lyublino
[2025-05-06 01:45:41,772] INFO: Processed station troick
[2025-05-06 01:45:41,909] INFO: Processed station kazakova
[2025-05-06 01:45:41,946] INFO: Processed station golovacheva
[2025-05-06 01:45:42,029] INFO: Processed station kuznecovo
[2025-05-06 01:45:42,136] INFO: Processed station zelenograd-6
[2025-05-06 01:45:42,448] INFO: Processed station nizhnyaya-maslovka
[2025-05-06 01:45:42,672] INFO: Processed station ostankino-0
[2025-05-06 01:45:42,859] INFO: Processed station dolgoprudnaya
[2025-05-06 01:45:43,005] INFO: Processed station kapotnya
[2025-05-06 01:45:43,158] INFO: Processed station narodnogo-opolcheniya
[2025-05-06 01:45:43,246] INFO: Processed station troitsk
[2025-05-06 01:45:43,434] INFO: Processed station spiridonovka
[2025-05-06 01:45:43,511] INFO: Processed station chayanova
[2025-05-06 01:45:43,812] INFO: Processed station xamovniki
[2025-05-06 01:45:43,946] INFO: Processed station texnopolis
[2025-05-06 01:45:44,071] INFO: Processed station proletarskij-prospekt
[2025-05-06 01:45:44,201] INFO: Processed station zelenograd-16
[2025-05-06 01:45:44,311] INFO: Processed station svetlyj-proezd
[2025-05-06 01:45:44,522] INFO: Processed station kozhuxovo
[2025-05-06 01:45:44,633] INFO: Processed station tolbuxina
[2025-05-06 01:45:44,812] INFO: Processed station guryanova
[2025-05-06 01:45:45,025] INFO: Processed station rogovo
[2025-05-06 01:45:45,194] INFO: Processed station shabolovka
[2025-05-06 01:45:45,307] INFO: Processed station melitopolskaya
[2025-05-06 01:45:45,471] INFO: Processed station ochakovskaya
[2025-05-06 01:45:45,773] INFO: Processed station kozhuxovskij-proezd
[2025-05-06 01:45:45,876] INFO: Processed station salarevo
[2025-05-06 01:45:46,095] INFO: Processed station mgu
[2025-05-06 01:45:46,259] INFO: Processed station bazovskaya
[2025-05-06 01:45:46,347] INFO: Processed station ochakovskoe-2
[2025-05-06 01:45:46,480] INFO: Processed station gurevskij-proezd
[2025-05-06 01:45:46,481] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2025-05-06 01:45:46,482] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2025-05-06 01:45:46,625] INFO: Processed special_station mkad105
[2025-05-06 01:45:46,635] INFO: Processed special_station spartakovskaya-ploshhad
[2025-05-06 01:45:46,663] INFO: Processed special_station troitsk-2
[2025-05-06 01:45:46,677] INFO: Processed special_station troizk-2
[2025-05-06 01:45:46,771] INFO: Processed special_station mkad-52-km-zapad
