[2025-05-10 01:44:49,938] INFO: Processed station rogovo
[2025-05-10 01:44:50,076] INFO: Processed station bazovskaya
[2025-05-10 01:44:50,189] INFO: Processed station lyublino
[2025-05-10 01:44:50,319] INFO: Processed station zelenograd-16
[2025-05-10 01:44:50,502] INFO: Processed station marino
[2025-05-10 01:44:50,752] INFO: Processed station ploshhad-gagarina
[2025-05-10 01:44:50,940] INFO: Processed station dolgoprudnaya
[2025-05-10 01:44:51,065] INFO: Processed station novokosino
[2025-05-10 01:44:51,165] INFO: Processed station salarevo
[2025-05-10 01:44:51,242] INFO: Processed station troitsk
[2025-05-10 01:44:51,388] INFO: Processed station kapotnya
[2025-05-10 01:44:51,570] INFO: Processed station guryanova
[2025-05-10 01:44:51,683] INFO: Processed station melitopolskaya
[2025-05-10 01:44:51,824] INFO: Processed station koptevskij
[2025-05-10 01:44:51,831] INFO: Processed station troick
[2025-05-10 01:44:52,138] INFO: Processed station xamovniki
[2025-05-10 01:44:52,232] INFO: Processed station semenkovo
[2025-05-10 01:44:52,370] INFO: Processed station butlerova
[2025-05-10 01:44:52,456] INFO: Processed station shherbinka
[2025-05-10 01:44:52,506] INFO: Processed station cheremushki
[2025-05-10 01:44:52,704] INFO: Processed station mgu
[2025-05-10 01:44:52,846] INFO: Processed station kazakova
[2025-05-10 01:44:52,957] INFO: Processed station svetlyj-proezd
[2025-05-10 01:44:53,109] INFO: Processed station narodnogo-opolcheniya
[2025-05-10 01:44:53,200] INFO: Processed station losinyj-ostrov
[2025-05-10 01:44:53,313] INFO: Processed station zelenograd-6
[2025-05-10 01:44:53,442] INFO: Processed station texnopolis
[2025-05-10 01:44:53,479] INFO: Processed station golovacheva
[2025-05-10 01:44:53,595] INFO: Processed station polyarnaya
[2025-05-10 01:44:53,677] INFO: Processed station kuznecovo
[2025-05-10 01:44:53,806] INFO: Processed station akademika-anoxina
[2025-05-10 01:44:53,971] INFO: Processed station turistskaya
[2025-05-10 01:44:54,102] INFO: Processed station zelenograd-11
[2025-05-10 01:44:54,213] INFO: Processed station gurevskij-proezd
[2025-05-10 01:44:54,402] INFO: Processed station spiridonovka
[2025-05-10 01:44:54,585] INFO: Processed station veshnyaki
[2025-05-10 01:44:54,659] INFO: Processed station brateevo
[2025-05-10 01:44:54,772] INFO: Processed station madi
[2025-05-10 01:44:55,117] INFO: Processed station nizhnyaya-maslovka
[2025-05-10 01:44:55,299] INFO: Processed station m2-zhulebino
[2025-05-10 01:44:55,473] INFO: Processed station shabolovka
[2025-05-10 01:44:55,550] INFO: Processed station chayanova
[2025-05-10 01:44:55,718] INFO: Processed station ochakovskaya
[2025-05-10 01:44:55,878] INFO: Processed station suxarevskaya-ploshhad
[2025-05-10 01:44:55,990] INFO: Processed station tolbuxina
[2025-05-10 01:44:56,279] INFO: Processed station kozhuxovskij-proezd
[2025-05-10 01:44:56,444] INFO: Processed station glebovskaya
[2025-05-10 01:44:56,517] INFO: Processed station ochakovskoe-2
[2025-05-10 01:44:56,747] INFO: Processed station kozhuxovo
[2025-05-10 01:44:56,884] INFO: Processed station proletarskij-prospekt
[2025-05-10 01:44:57,096] INFO: Processed station ostankino-0
[2025-05-10 01:44:57,254] INFO: Processed station birulevo
[2025-05-10 01:44:57,281] INFO: Processed special_station troitsk-2
[2025-05-10 01:44:57,291] INFO: Processed special_station spartakovskaya-ploshhad
[2025-05-10 01:44:57,429] INFO: Processed special_station mkad105
[2025-05-10 01:44:57,443] INFO: Processed special_station troizk-2
[2025-05-10 01:44:57,533] INFO: Processed special_station mkad-52-km-zapad
[2025-05-10 01:44:57,534] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2025-05-10 01:44:57,534] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
