[2025-09-08 01:48:01,993] INFO: Processed station shherbinka
[2025-09-08 01:48:02,115] INFO: Processed station novokosino
[2025-09-08 01:48:02,208] INFO: Processed station salarevo
[2025-09-08 01:48:02,344] INFO: Processed station kazakova
[2025-09-08 01:48:02,499] INFO: Processed station suxarevskaya-ploshhad
[2025-09-08 01:48:02,608] INFO: Processed station tolbuxina
[2025-09-08 01:48:02,736] INFO: Processed station akademika-anoxina
[2025-09-08 01:48:02,845] INFO: Processed station gurevskij-proezd
[2025-09-08 01:48:02,952] INFO: Processed station madi
[2025-09-08 01:48:03,146] INFO: Processed station mgu
[2025-09-08 01:48:03,295] INFO: Processed station koptevskij
[2025-09-08 01:48:03,421] INFO: Processed station polyarnaya
[2025-09-08 01:48:03,498] INFO: Processed station chayanova
[2025-09-08 01:48:03,644] INFO: Processed station kapotnya
[2025-09-08 01:48:03,818] INFO: Processed station shabolovka
[2025-09-08 01:48:03,931] INFO: Processed station svetlyj-proezd
[2025-09-08 01:48:04,113] INFO: Processed station marino
[2025-09-08 01:48:04,320] INFO: Processed station ostankino-0
[2025-09-08 01:48:04,561] INFO: Processed station ploshhad-gagarina
[2025-09-08 01:48:04,598] INFO: Processed station golovacheva
[2025-09-08 01:48:04,724] INFO: Processed station zelenograd-11
[2025-09-08 01:48:04,732] INFO: Processed station troick
[2025-09-08 01:48:04,892] INFO: Processed station turistskaya
[2025-09-08 01:48:05,034] INFO: Processed station bazovskaya
[2025-09-08 01:48:05,205] INFO: Processed station ochakovskaya
[2025-09-08 01:48:05,308] INFO: Processed station zelenograd-6
[2025-09-08 01:48:05,440] INFO: Processed station zelenograd-16
[2025-09-08 01:48:05,490] INFO: Processed station cheremushki
[2025-09-08 01:48:05,672] INFO: Processed station veshnyaki
[2025-09-08 01:48:05,887] INFO: Processed station kozhuxovo
[2025-09-08 01:48:06,203] INFO: Processed station xamovniki
[2025-09-08 01:48:06,326] INFO: Processed station proletarskij-prospekt
[2025-09-08 01:48:06,415] INFO: Processed station losinyj-ostrov
[2025-09-08 01:48:06,487] INFO: Processed station brateevo
[2025-09-08 01:48:06,671] INFO: Processed station guryanova
[2025-09-08 01:48:06,880] INFO: Processed station rogovo
[2025-09-08 01:48:07,069] INFO: Processed station glebovskaya
[2025-09-08 01:48:07,194] INFO: Processed station lyublino
[2025-09-08 01:48:07,288] INFO: Processed station semenkovo
[2025-09-08 01:48:07,457] INFO: Processed station narodnogo-opolcheniya
[2025-09-08 01:48:07,605] INFO: Processed station butlerova
[2025-09-08 01:48:07,815] INFO: Processed station spiridonovka
[2025-09-08 01:48:07,892] INFO: Processed station ochakovskoe-2
[2025-09-08 01:48:08,100] INFO: Processed station dolgoprudnaya
[2025-09-08 01:48:08,219] INFO: Processed station melitopolskaya
[2025-09-08 01:48:08,509] INFO: Processed station kozhuxovskij-proezd
[2025-09-08 01:48:08,702] INFO: Processed station m2-zhulebino
[2025-09-08 01:48:08,860] INFO: Processed station birulevo
[2025-09-08 01:48:08,940] INFO: Processed station troitsk
[2025-09-08 01:48:09,023] INFO: Processed station kuznecovo
[2025-09-08 01:48:09,164] INFO: Processed station texnopolis
[2025-09-08 01:48:09,492] INFO: Processed station nizhnyaya-maslovka
[2025-09-08 01:48:09,501] INFO: Processed special_station spartakovskaya-ploshhad
[2025-09-08 01:48:09,598] INFO: Processed special_station mkad-52-km-zapad
[2025-09-08 01:48:09,613] INFO: Processed special_station troizk-2
[2025-09-08 01:48:09,834] INFO: Processed special_station mkad105
[2025-09-08 01:48:09,900] INFO: Processed special_station troitsk-2
[2025-09-08 01:48:09,900] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2025-09-08 01:48:09,901] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
