[2026-04-02 03:00:38,986] INFO: Processed station zelenograd-16
[2026-04-02 03:00:39,201] INFO: Processed station marino
[2026-04-02 03:00:39,327] INFO: Processed station svetlyj-proezd
[2026-04-02 03:00:39,537] INFO: Processed station veshnyaki
[2026-04-02 03:00:39,622] INFO: Processed station troitsk
[2026-04-02 03:00:39,981] INFO: Processed station xamovniki
[2026-04-02 03:00:40,106] INFO: Processed station zelenograd-6
[2026-04-02 03:00:40,327] INFO: Processed station dolgoprudnaya
[2026-04-02 03:00:40,480] INFO: Processed station butlerova
[2026-04-02 03:00:40,582] INFO: Processed station shherbinka
[2026-04-02 03:00:40,627] INFO: Processed station cheremushki
[2026-04-02 03:00:40,759] INFO: Processed station polyarnaya
[2026-04-02 03:00:40,844] INFO: Processed station chayanova
[2026-04-02 03:00:40,934] INFO: Processed station kuznecovo
[2026-04-02 03:00:41,003] INFO: Processed station brateevo
[2026-04-02 03:00:41,160] INFO: Processed station kapotnya
[2026-04-02 03:00:41,266] INFO: Processed station losinyj-ostrov
[2026-04-02 03:00:41,389] INFO: Processed station tolbuxina
[2026-04-02 03:00:41,527] INFO: Processed station proletarskij-prospekt
[2026-04-02 03:00:41,671] INFO: Processed station novokosino
[2026-04-02 03:00:41,678] INFO: Processed station troick
[2026-04-02 03:00:41,838] INFO: Processed station texnopolis
[2026-04-02 03:00:42,014] INFO: Processed station glebovskaya
[2026-04-02 03:00:42,219] INFO: Processed station guryanova
[2026-04-02 03:00:42,489] INFO: Processed station ploshhad-gagarina
[2026-04-02 03:00:42,685] INFO: Processed station ochakovskaya
[2026-04-02 03:00:42,884] INFO: Processed station shabolovka
[2026-04-02 03:00:43,014] INFO: Processed station lyublino
[2026-04-02 03:00:43,118] INFO: Processed station salarevo
[2026-04-02 03:00:43,298] INFO: Processed station suxarevskaya-ploshhad
[2026-04-02 03:00:43,458] INFO: Processed station koptevskij
[2026-04-02 03:00:43,576] INFO: Processed station madi
[2026-04-02 03:00:43,940] INFO: Processed station nizhnyaya-maslovka
[2026-04-02 03:00:44,182] INFO: Processed station kozhuxovo
[2026-04-02 03:00:44,305] INFO: Processed station melitopolskaya
[2026-04-02 03:00:44,541] INFO: Processed station spiridonovka
[2026-04-02 03:00:44,720] INFO: Processed station birulevo
[2026-04-02 03:00:44,966] INFO: Processed station ostankino-0
[2026-04-02 03:00:45,005] INFO: Processed station golovacheva
[2026-04-02 03:00:45,176] INFO: Processed station kazakova
[2026-04-02 03:00:45,363] INFO: Processed station turistskaya
[2026-04-02 03:00:45,592] INFO: Processed station mgu
[2026-04-02 03:00:45,716] INFO: Processed station gurevskij-proezd
[2026-04-02 03:00:45,961] INFO: Processed station rogovo
[2026-04-02 03:00:46,278] INFO: Processed station kozhuxovskij-proezd
[2026-04-02 03:00:46,430] INFO: Processed station akademika-anoxina
[2026-04-02 03:00:46,526] INFO: Processed station semenkovo
[2026-04-02 03:00:46,602] INFO: Processed station ochakovskoe-2
[2026-04-02 03:00:46,801] INFO: Processed station m2-zhulebino
[2026-04-02 03:00:46,941] INFO: Processed station zelenograd-11
[2026-04-02 03:00:47,114] INFO: Processed station narodnogo-opolcheniya
[2026-04-02 03:00:47,276] INFO: Processed station bazovskaya
[2026-04-02 03:00:47,277] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2026-04-02 03:00:47,277] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2026-04-02 03:00:47,285] INFO: Processed special_station spartakovskaya-ploshhad
[2026-04-02 03:00:47,310] INFO: Processed special_station troitsk-2
[2026-04-02 03:00:47,323] INFO: Processed special_station troizk-2
[2026-04-02 03:00:47,430] INFO: Processed special_station mkad-52-km-zapad
[2026-04-02 03:00:47,576] INFO: Processed special_station mkad105
