[2026-06-08 04:26:08,985] INFO: Processed special_station spartakovskaya-ploshhad
[2026-06-08 04:26:09,011] INFO: Processed special_station troitsk-2
[2026-06-08 04:26:09,122] INFO: Processed special_station mkad-52-km-zapad
[2026-06-08 04:26:09,278] INFO: Processed special_station mkad105
[2026-06-08 04:26:09,292] INFO: Processed special_station troizk-2
[2026-06-08 04:26:09,293] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2026-06-08 04:26:09,294] INFO: Creating of data product for profilers is disabled due to GitHub file size limitations
[2026-06-08 04:26:09,674] INFO: Processed station xamovniki
[2026-06-08 04:26:09,864] INFO: Processed station turistskaya
[2026-06-08 04:26:10,027] INFO: Processed station kapotnya
[2026-06-08 04:26:10,257] INFO: Processed station dolgoprudnaya
[2026-06-08 04:26:10,264] INFO: Processed station troick
[2026-06-08 04:26:10,371] INFO: Processed station salarevo
[2026-06-08 04:26:10,745] INFO: Processed station nizhnyaya-maslovka
[2026-06-08 04:26:10,960] INFO: Processed station shabolovka
[2026-06-08 04:26:11,090] INFO: Processed station lyublino
[2026-06-08 04:26:11,217] INFO: Processed station tolbuxina
[2026-06-08 04:26:11,319] INFO: Processed station shherbinka
[2026-06-08 04:26:11,452] INFO: Processed station svetlyj-proezd
[2026-06-08 04:26:11,487] INFO: Processed station golovacheva
[2026-06-08 04:26:11,742] INFO: Processed station rogovo
[2026-06-08 04:26:11,853] INFO: Processed station losinyj-ostrov
[2026-06-08 04:26:11,980] INFO: Processed station gurevskij-proezd
[2026-06-08 04:26:12,077] INFO: Processed station semenkovo
[2026-06-08 04:26:12,261] INFO: Processed station narodnogo-opolcheniya
[2026-06-08 04:26:12,353] INFO: Processed station kuznecovo
[2026-06-08 04:26:12,538] INFO: Processed station suxarevskaya-ploshhad
[2026-06-08 04:26:12,585] INFO: Processed station cheremushki
[2026-06-08 04:26:12,794] INFO: Processed station m2-zhulebino
[2026-06-08 04:26:13,017] INFO: Processed station guryanova
[2026-06-08 04:26:13,106] INFO: Processed station troitsk
[2026-06-08 04:26:13,253] INFO: Processed station zelenograd-11
[2026-06-08 04:26:13,489] INFO: Processed station mgu
[2026-06-08 04:26:13,641] INFO: Processed station madi
[2026-06-08 04:26:13,882] INFO: Processed station ostankino-0
[2026-06-08 04:26:14,032] INFO: Processed station novokosino
[2026-06-08 04:26:14,260] INFO: Processed station spiridonovka
[2026-06-08 04:26:14,484] INFO: Processed station veshnyaki
[2026-06-08 04:26:14,644] INFO: Processed station akademika-anoxina
[2026-06-08 04:26:14,743] INFO: Processed station chayanova
[2026-06-08 04:26:15,067] INFO: Processed station kozhuxovskij-proezd
[2026-06-08 04:26:15,208] INFO: Processed station proletarskij-prospekt
[2026-06-08 04:26:15,388] INFO: Processed station glebovskaya
[2026-06-08 04:26:15,560] INFO: Processed station bazovskaya
[2026-06-08 04:26:15,631] INFO: Processed station brateevo
[2026-06-08 04:26:15,706] INFO: Processed station ochakovskoe-2
[2026-06-08 04:26:15,865] INFO: Processed station kazakova
[2026-06-08 04:26:16,039] INFO: Processed station birulevo
[2026-06-08 04:26:16,263] INFO: Processed station marino
[2026-06-08 04:26:16,422] INFO: Processed station zelenograd-16
[2026-06-08 04:26:16,545] INFO: Processed station melitopolskaya
[2026-06-08 04:26:16,672] INFO: Processed station zelenograd-6
[2026-06-08 04:26:16,880] INFO: Processed station ochakovskaya
[2026-06-08 04:26:17,133] INFO: Processed station kozhuxovo
[2026-06-08 04:26:17,302] INFO: Processed station koptevskij
[2026-06-08 04:26:17,462] INFO: Processed station butlerova
[2026-06-08 04:26:17,625] INFO: Processed station texnopolis
[2026-06-08 04:26:17,911] INFO: Processed station ploshhad-gagarina
[2026-06-08 04:26:18,047] INFO: Processed station polyarnaya
