[2023-07-20 23:37:49,020] INFO: Getting station ids
[2023-07-20 23:37:51,660] INFO: Obtained results: 25 asmav stations, 9 gmsav stations
[2023-07-20 23:37:51,660] INFO: Processing asmav station with id 1
[2023-07-20 23:40:01,653] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=1
[2023-07-20 23:40:01,653] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:40:01,653] INFO: Processing asmav station with id 2
[2023-07-20 23:42:12,725] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=2
[2023-07-20 23:42:12,725] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:42:12,725] INFO: Processing asmav station with id 3
[2023-07-20 23:44:23,797] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=3
[2023-07-20 23:44:23,797] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:44:23,797] INFO: Processing asmav station with id 4
[2023-07-20 23:46:34,869] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=4
[2023-07-20 23:46:34,869] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:46:34,870] INFO: Processing asmav station with id 5
[2023-07-20 23:48:45,941] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=5
[2023-07-20 23:48:45,941] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:48:45,941] INFO: Processing asmav station with id 6
[2023-07-20 23:50:57,013] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=6
[2023-07-20 23:50:57,013] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:50:57,013] INFO: Processing asmav station with id 7
[2023-07-20 23:53:08,085] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=7
[2023-07-20 23:53:08,085] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:53:08,085] INFO: Processing asmav station with id 8
[2023-07-20 23:55:19,157] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=8
[2023-07-20 23:55:19,157] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:55:19,157] INFO: Processing asmav station with id 9
[2023-07-20 23:57:30,229] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=9
[2023-07-20 23:57:30,229] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:57:30,229] INFO: Processing asmav station with id 10
[2023-07-20 23:59:41,301] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=10
[2023-07-20 23:59:41,301] CRITICAL: [Errno 110] Connection timed out
[2023-07-20 23:59:41,301] INFO: Processing asmav station with id 11
[2023-07-21 00:01:52,373] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=11
[2023-07-21 00:01:52,373] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:01:52,374] INFO: Processing asmav station with id 12
[2023-07-21 00:04:03,445] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=12
[2023-07-21 00:04:03,445] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:04:03,445] INFO: Processing asmav station with id 13
[2023-07-21 00:06:14,517] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=13
